BDP;Month;Seeds;TotalAdoption_mean;TotalAdoption_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;FirmBirths_mean;FirmBirths_sd;FirmDeaths_mean;FirmDeaths_sd;NetEntry_mean;NetEntry_sd;LivingFirmCount_mean;LivingFirmCount_sd
0.0;1.0;10.0;0.04467;0.0019038265560590208;0.11435000000000001;0.005274308801476583;0.2;0.4216370213557839;0.2;0.4216370213557839;0.0;0.0;10000.0;0.0
0.0;2.0;10.0;0.04526;0.001934597287981834;0.12511;0.004787588119293473;32.3;11.916841490559111;3.0;1.4907119849998598;29.3;12.552556180581972;10029.3;12.552556180581972
0.0;3.0;10.0;0.04557;0.0019108171608561149;0.12754;0.004046727072585944;17.3;1.2516655570345725;1.2;1.1352924243950935;16.1;1.286683937707919;10045.4;12.790621564255586
0.0;4.0;10.0;0.04613;0.0019293349458643343;0.12955;0.003536240942017383;21.0;1.4907119849998598;3.7;1.888562063228706;17.3;2.1628170930011112;10062.7;13.004700005083633
0.0;5.0;10.0;0.046759999999999996;0.0019230762393161185;0.13095;0.0034766682646209203;23.2;1.7511900715418263;2.6;2.270584848790187;20.6;1.2649110640673518;10083.3;13.047349667014116
0.0;6.0;10.0;0.04719;0.0017897547938816147;0.13226;0.0031134832226587905;24.4;2.1186998109427604;2.3;1.0593499054713802;22.1;2.183269719175042;10105.4;12.066482503198685
0.0;7.0;10.0;0.04772;0.001769996861265266;0.13263;0.0026541581632516863;32.0;1.9436506316151;23.0;7.468452167469359;9.0;6.324555320336759;10114.4;7.720103626247513
0.0;8.0;10.0;0.048350000000000004;0.0017347750414519014;0.13267;0.0025051280739049418;34.1;2.330951164939612;14.1;2.960855732160327;20.0;1.4142135623730951;10134.4;7.167829363048327
0.0;9.0;10.0;0.04898;0.0018443908961437055;0.13236;0.0022697038475438967;36.7;2.496664441476534;15.9;3.634709219609061;20.8;2.616188916046478;10155.2;7.96938586787659
0.0;10.0;10.0;0.04958;0.0019372374374063926;0.13164;0.00246089414644353;38.3;1.946506842754191;16.5;2.5495097567963922;21.8;3.3928028399998595;10177.0;9.273618495495704
0.0;11.0;10.0;0.05031;0.0019851952045076074;0.13077;0.002006129496207946;41.1;2.8848262031225076;20.2;4.1311822359545785;20.9;1.7919573407620817;10197.9;9.085397319019375
0.0;12.0;10.0;0.05101;0.002013537517240078;0.13006;0.002226207537495098;45.2;3.457680661303984;26.3;6.377913277693401;18.9;4.5570458267025;10216.8;9.942054337230532
0.0;13.0;10.0;0.05158;0.0019893047361662156;0.12928;0.002321302316469022;45.8;3.011090610836324;28.5;4.034572812303401;17.3;3.497618237219913;10234.1;10.754327294422257
0.0;14.0;10.0;0.0522;0.0020493901531919195;0.1281;0.0021540659228538018;48.3;3.1287200080686173;28.3;2.6267851073127395;20.0;3.1622776601683795;10254.1;12.269655432995844
0.0;15.0;10.0;0.05277;0.0019229895706656564;0.12799;0.0020604476320558217;50.3;3.653004851412662;29.9;5.506561742341788;20.4;4.501851470969102;10274.5;16.2907608443832
0.0;16.0;10.0;0.05352;0.001866547615251215;0.1273;0.0021437246921084674;53.3;3.743141876967945;35.3;5.926400443964466;18.0;3.858612300930075;10292.5;15.834210502018161
0.0;17.0;10.0;0.054169999999999996;0.0018006480314968092;0.12704;0.00196988437336927;56.0;3.858612300930075;37.0;4.268749491621899;19.0;3.9440531887330774;10311.5;16.56133381638622
0.0;18.0;10.0;0.05477;0.001866101104799344;0.12738;0.0020148338779054607;57.9;4.605552204797066;38.1;5.915140648276158;19.8;4.077035960378842;10331.3;19.618868468900036
0.0;19.0;10.0;0.05542;0.001879598065781322;0.12693;0.001991119171610667;59.3;4.808557187163549;38.4;6.801960501698511;20.9;5.10881590977792;10352.2;21.811312049790434
0.0;20.0;10.0;0.05605;0.001691317697996316;0.127;0.001702938636592639;60.7;5.598610938835136;40.3;6.600505031182589;20.4;4.718756898449704;10372.6;24.82024263468116
0.0;21.0;10.0;0.05679;0.0017483007623276825;0.12682;0.0021133438485542813;62.9;4.909175083453431;44.5;5.7975090436420285;18.4;6.65331997326648;10391.0;31.02328874320781
0.0;22.0;10.0;0.05751;0.0017885127278769299;0.12735;0.0019477907713327117;63.6;5.146735750831676;42.5;6.004627844883941;21.1;3.9001424475410014;10412.1;33.361488109628574
0.0;23.0;10.0;0.05814;0.0017360235533476433;0.12703;0.0016865810254937555;64.8;5.593647190240808;45.6;6.501281924871945;19.2;5.43241300999023;10431.3;36.21555835088929
0.0;24.0;10.0;0.05877;0.0017486820433940792;0.12746;0.0018886797269815532;66.1;5.043147165543886;46.2;5.0508525133002165;19.9;4.724639903973871;10451.2;37.78829918844662
0.0;25.0;10.0;0.05946;0.0018644033898274264;0.12456;0.0020748226162467195;65.3;5.657836257007719;48.7;7.761013679496599;16.6;4.695151163109069;10467.8;38.591305871774914
0.0;26.0;10.0;0.06023;0.001840923681199195;0.12185;0.002174217611515055;67.2;5.711586664161039;53.0;8.628119403696523;14.2;6.696599468718765;10482.0;41.61997383735629
0.0;27.0;10.0;0.06103;0.0019510965577791823;0.11953;0.0019166231879126493;68.4;5.211099265563414;50.6;5.699902533279748;17.8;4.077035960378842;10499.8;44.54411047240452
0.0;28.0;10.0;0.06175;0.002054939847727368;0.11709;0.0018615704242505695;70.0;5.830951894845301;56.1;6.9992063042097055;13.9;3.725288952252936;10513.7;45.14679759776249
0.0;29.0;10.0;0.06247;0.0020358181538525366;0.11552;0.0022374588760963226;69.6;5.910442735813734;50.2;5.788878225624643;19.4;3.339993346633426;10533.1;47.51946969401069
0.0;30.0;10.0;0.06297;0.00194767667862108;0.11348;0.0020203410053200865;71.2;6.646636576327743;57.3;9.707385504518369;13.9;5.384133067531754;10547.0;49.52664827028868
0.0;31.0;10.0;0.06383;0.0019333620687519671;0.11208;0.0019164782516086344;73.5;7.604823031033223;59.7;11.065963833103538;13.8;6.679986693266852;10560.8;54.31758462965745
0.0;32.0;10.0;0.06462;0.002068708668603569;0.11054;0.0018810162737792084;74.1;7.156193898373011;57.7;6.61731734835869;16.4;3.6270588023294517;10577.2;57.16603498193272
0.0;33.0;10.0;0.06527;0.002193956345154671;0.10929;0.0021084222642640733;76.1;8.608135686662937;62.5;10.080233683358294;13.6;3.272783388968954;10590.8;56.098722504765355
0.0;34.0;10.0;0.06617;0.0021792200439606844;0.10837000000000001;0.002044532002955962;77.0;9.556847457887635;60.9;9.803060746521975;16.1;5.173651192984184;10606.9;55.33624490331812
0.0;35.0;10.0;0.06699;0.002255585659350286;0.10696;0.0019039140970350764;78.2;9.919677414109795;63.2;10.119288512538814;15.0;7.393691004272945;10621.9;61.462635442645606
0.0;36.0;10.0;0.0678;0.0023828088000882024;0.1062;0.001907295933455998;80.0;10.187137859957417;65.3;10.274564062122863;14.7;6.4299645756757045;10636.6;62.958893114652376
0.0;37.0;10.0;0.06868;0.002393416897334112;0.10529;0.0019587127292064964;78.9;11.14998754359045;64.3;10.520350648993492;14.6;5.232377832092956;10651.2;67.29008512073347
0.0;38.0;10.0;0.06952;0.002530173467922264;0.10463;0.0020044672331791524;81.2;11.301917241483116;69.1;9.596874491208062;12.1;7.593125545883958;10663.3;71.37545485358083
0.0;39.0;10.0;0.07034;0.0024905153415842813;0.10367;0.0021406385340204757;81.9;11.551334699216941;67.9;12.296792716440784;14.0;7.972173828734265;10677.3;70.42734633017994
0.0;40.0;10.0;0.07124;0.0026239071799301333;0.10307;0.0021208226915253653;84.1;12.059574342958102;73.4;9.406853293683755;10.7;6.09280085200741;10688.0;74.59371436134698
0.0;41.0;10.0;0.07195;0.0027601328470443828;0.10252;0.0022104800886283095;85.9;13.287002839032;73.3;13.182901383568371;12.6;6.535373831014651;10700.6;77.55456860244347
0.0;42.0;10.0;0.07288;0.0027352838568926964;0.10204;0.002128745065891065;86.8;13.273197722394471;72.4;9.845472732852055;14.4;8.369255907453448;10715.0;81.42344734643565
0.0;43.0;10.0;0.07395;0.0026994855476964908;0.1017;0.0021581885408318204;86.6;15.664538862595917;70.3;16.472536065962778;16.3;6.464432603785802;10731.3;83.78948488788899
0.0;44.0;10.0;0.07483000000000001;0.002839424824384919;0.10128;0.0019831512521461623;88.6;15.896889982355388;75.8;12.236557250032925;12.8;8.283853102404835;10744.1;85.69772459056308
0.0;45.0;10.0;0.07551;0.002892307805964719;0.10122;0.0014965144688761124;90.2;14.436065946094871;76.6;8.140434058861153;13.6;9.957688263626029;10757.7;92.61395383226247
0.0;46.0;10.0;0.07645;0.002981889781106381;0.10094;0.0021577766334817884;90.4;15.342026521218694;75.9;14.066903631495375;14.5;7.501851623284599;10772.2;97.96802199357367
0.0;47.0;10.0;0.0772;0.0032207659544483077;0.10102;0.0021560251493070383;91.7;14.817782110243984;76.8;10.261037417770627;14.9;6.740425308044985;10787.1;103.0355386370267
0.0;48.0;10.0;0.0781;0.003129075120720356;0.10067999999999999;0.0020916766268023125;92.0;15.18771433319269;76.4;12.598059815348993;15.6;6.899275324264136;10802.7;106.4623564145249
0.0;49.0;10.0;0.07904;0.0030811974584206364;0.10063;0.002358931019668774;90.1;15.884653670200752;73.2;12.959766801742829;16.9;7.400450436741447;10819.6;112.7910555949461
0.0;50.0;10.0;0.08002;0.0031579881077814244;0.10054;0.002553080927472182;92.4;17.36663467687393;82.0;15.084944665313014;10.4;4.033195589934446;10830.0;115.15400316291417
0.0;51.0;10.0;0.08080999999999999;0.0031733088234347567;0.10042;0.0025969212541007074;93.1;18.76432785899884;79.8;17.26782492897637;13.3;3.743141876967945;10843.3;116.23639705359075
0.0;52.0;10.0;0.08193;0.003112715855968868;0.10001;0.002781466439767978;95.1;17.559106532572272;84.0;10.327955589886445;11.1;9.608445359277546;10854.4;125.25724640825287
0.0;53.0;10.0;0.08297;0.0032431294899971075;0.09976;0.002970671454215176;94.9;16.475233938652686;79.6;12.738393409950357;15.3;7.43938468184328;10869.7;131.0123403856802
