Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84903;5725;78;0;12062.46;10587.84;5270.36;10175.46;16509.85;-24657.34;37901.12;0.281900;0.001100;0.678900;0.031700;8;0;0.00;3773.23;10572.09;0.000000;0.00;0.135200;0.068400
2;81828;5909;76;0;12084.15;10588.11;5289.42;10174.40;16443.15;-18137.57;37792.61;0.282800;0.002600;0.678600;0.031300;6;1;0.00;3676.73;10492.53;0.000000;0.00;0.137100;0.072700
3;84720;6877;37;0;12019.66;10636.94;5262.22;10209.59;16622.77;-23524.90;36868.72;0.288800;0.002700;0.675800;0.034700;5;0;0.00;3612.70;10479.56;0.000000;0.00;0.143200;0.079700
4;88779;6465;31;0;11972.69;10587.65;5307.94;10156.35;16524.19;-12913.19;38359.80;0.282200;0.002000;0.676000;0.033900;4;0;0.00;3752.77;10491.25;0.000000;0.00;0.134300;0.071900
5;83315;5511;57;0;12197.97;10670.35;5267.73;10284.71;16713.33;-17042.15;38346.35;0.280100;0.002800;0.677800;0.032000;7;0;0.00;3878.33;10707.19;0.000000;0.00;0.136200;0.068000
6;86575;5600;7;0;12076.28;10588.38;5235.42;10198.75;16472.79;-14487.36;38819.97;0.278900;0.003100;0.678600;0.031800;2;0;0.00;3848.21;10577.26;0.000000;0.00;0.134300;0.066400
7;79843;5610;1358;0;11981.66;10587.01;5268.24;10174.40;16554.31;-21624.42;37371.02;0.292900;0.002500;0.676300;0.033700;8;9;0.00;3705.07;10506.76;0.000000;0.00;0.146500;0.084600
8;80283;6094;32;0;12199.07;10699.51;5274.17;10242.31;16686.02;-19297.08;37465.75;0.287600;0.001700;0.679200;0.031400;3;0;0.00;3718.64;10688.27;0.000000;0.00;0.140000;0.075200
9;86234;6032;40;0;12018.12;10586.52;5296.83;10171.22;16564.90;-15542.06;37962.65;0.281000;0.002600;0.676500;0.033000;2;0;0.00;3732.61;10484.09;0.000000;0.00;0.134700;0.070000
10;85389;5821;63;0;12131.80;10590.31;5223.30;10155.37;16654.85;-17757.55;37866.98;0.283300;0.002800;0.676300;0.032600;3;0;0.00;3713.85;10531.10;0.000000;0.00;0.137000;0.069100
