Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;3019799005.86;265479441.99;771837238.51;0.017400;2.460200;1495196533.84;0.00;false
1;1;1576510890.39;172511533.54;453610666.24;0.029200;2.397600;814153589.23;0.00;false
1;2;1116883135.83;107035074.87;325699597.74;0.020400;2.695400;581219125.35;0.00;false
1;3;1053988613.90;138123976.10;301755758.64;0.021200;2.023400;557225981.87;0.00;false
1;4;1145966545.09;109759623.04;334367533.25;0.016500;2.716000;596773659.55;0.00;false
1;5;557935276.59;55202879.29;175782415.48;0.029700;2.839600;297046014.40;0.00;false
1;6;6393953597.50;613156847.91;1639572401.04;0.023600;2.410300;3184436745.47;0.00;false
2;0;2681618187.85;277235236.27;726032963.98;0.021000;2.269600;1350158493.55;0.00;false
2;1;1780951737.16;208480884.76;489921192.61;0.014800;2.127900;923712448.18;0.00;false
2;2;938268968.40;103672577.32;281741668.44;0.031900;2.463100;502423139.44;0.00;false
2;3;1380217561.20;163641697.29;356410576.86;0.020300;1.982800;706661824.45;0.00;false
2;4;1201051781.53;121072794.52;375668342.68;0.026500;2.740600;623670795.19;0.00;false
2;5;349459428.13;42992680.97;129763371.53;0.030300;2.696300;199587462.77;0.00;false
2;6;6395975256.28;653495808.72;1634113827.78;0.022000;2.258700;3215511132.26;0.00;false
3;0;3230749402.88;280916996.30;819752570.58;0.020000;2.504600;1569281112.29;0.00;false
3;1;2107328365.74;203654277.14;607484512.23;0.029200;2.654000;1057349803.10;0.00;false
3;2;1205429284.36;134430070.96;365905531.66;0.018000;2.349700;621336320.01;0.00;false
3;3;843123434.13;109688650.79;255103545.22;0.028800;2.138400;441205866.96;0.00;false
3;4;1187880053.66;112012853.20;349976894.95;0.022900;2.742800;599102727.72;0.00;false
3;5;341680415.23;37075196.94;127888996.04;0.036600;2.992400;190324338.77;0.00;false
3;6;5960384221.71;554975577.40;1563463605.79;0.028200;2.518400;2918308982.42;0.00;false
4;0;2833607431.68;285841483.36;701787281.64;0.016500;2.143700;1314212086.36;0.00;false
4;1;1754168924.77;214243174.00;474474455.23;0.018700;2.016500;842293360.46;0.00;false
4;2;1201066887.85;122186372.58;311671218.20;0.015400;2.222900;582406721.38;0.00;false
4;3;1270867356.03;140186734.48;306059004.30;0.013200;2.005000;593788482.53;0.00;false
4;4;1070675653.76;109001353.35;292196915.33;0.015700;2.387000;512991567.32;0.00;false
4;5;346397244.92;38813609.46;121014795.54;0.031600;2.708700;184392262.17;0.00;false
4;6;7119646697.33;695970557.81;1727884045.92;0.022200;2.238100;3271583413.79;0.00;false
5;0;2359302569.91;245052635.62;627298050.33;0.015100;2.206600;1216861440.17;0.00;false
5;1;1868993936.55;180412396.08;551087524.33;0.018500;2.700200;972384082.09;0.00;false
5;2;1400143152.95;131629740.61;382372911.35;0.014600;2.621300;722323846.71;0.00;false
5;3;834660077.19;103027825.73;263422910.19;0.027900;2.356600;449008558.53;0.00;false
5;4;1364947627.63;118350980.99;376257473.86;0.016400;2.830700;700986247.31;0.00;false
5;5;470374567.79;61256668.87;172353172.47;0.017500;2.394700;273644292.46;0.00;false
5;6;6384524479.85;581062663.76;1596853260.99;0.017900;2.470400;3239971939.29;0.00;false
6;0;2776476276.96;258428297.31;680880469.12;0.022400;2.264800;1352375807.37;0.00;false
6;1;1568186235.77;175089608.05;449061829.50;0.020500;2.314900;802461140.07;0.00;false
6;2;1169341875.43;116700849.97;326906242.00;0.022000;2.520900;587490437.03;0.00;false
6;3;1084327350.93;124646107.40;298746779.82;0.028000;2.187000;547366716.80;0.00;false
6;4;1117709808.77;113653427.40;317318298.77;0.028800;2.522600;555328260.51;0.00;false
6;5;443416562.25;49866866.27;150361349.85;0.025000;2.582700;241496482.23;0.00;false
6;6;6864483514.68;625185759.51;1724155735.62;0.030900;2.489200;3327788880.29;0.00;false
7;0;2347565987.34;232702443.31;602505497.11;0.013900;2.228300;1207892946.15;0.00;false
7;1;1645117919.42;180611137.65;443638695.58;0.015400;2.216100;868534370.15;0.00;false
7;2;1655278370.86;149629515.19;438026999.13;0.018300;2.605500;855568070.98;0.00;false
7;3;1048339993.76;126865133.12;308593052.85;0.032800;2.242900;554882897.85;0.00;false
7;4;1134504851.02;119559281.23;315151999.43;0.014700;2.387200;598715070.45;0.00;false
7;5;436464691.06;50517672.17;146329135.18;0.028100;2.601800;243866123.28;0.00;false
7;6;6346692012.28;611801852.03;1642603723.27;0.017600;2.433200;3242754618.89;0.00;false
8;0;2513459553.81;236649969.31;687318695.87;0.019200;2.470600;1336896688.59;0.00;false
8;1;1747966231.11;174897403.88;500701316.71;0.021700;2.607700;945000958.68;0.00;false
8;2;1297254650.34;127262083.37;379815918.32;0.017900;2.690900;707549401.46;0.00;false
8;3;1128563428.14;133589914.99;349927008.98;0.029200;2.296600;628854324.63;0.00;false
8;4;864153367.45;94004352.64;266647640.16;0.023900;2.555200;485443536.19;0.00;false
8;5;388857865.25;40621873.04;134542520.04;0.027100;2.920100;229490891.72;0.00;false
8;6;6581786186.08;627487991.71;1759438903.59;0.020900;2.551500;3498840473.47;0.00;false
9;0;3183247017.86;280773276.72;763191766.54;0.012800;2.302100;1578696900.64;0.00;false
9;1;1893936854.24;198823357.01;496507233.84;0.017800;2.237700;982907203.34;0.00;false
9;2;978192288.47;103739825.65;269442365.53;0.015500;2.295200;518026583.87;0.00;false
9;3;938495498.42;114188006.32;276899233.63;0.027700;2.223400;493124949.15;0.00;false
9;4;1233470562.44;112267162.11;332258943.64;0.016000;2.535900;639097384.80;0.00;false
9;5;414133916.35;46179718.77;137897360.30;0.036200;2.654600;226554521.02;0.00;false
9;6;6148722649.36;572706717.55;1538563621.62;0.021000;2.388600;3068670960.90;0.00;false
10;0;2267292495.28;236800334.89;653694203.33;0.024900;2.389000;1095267533.16;0.00;false
10;1;1615055425.40;178150569.00;478359546.70;0.015100;2.403400;804681493.73;0.00;false
10;2;1224304793.45;108655618.40;346432349.43;0.021700;2.841100;606827434.50;0.00;false
10;3;1032807486.64;134774708.41;290811720.33;0.014900;1.974700;517805507.20;0.00;false
10;4;1337648463.04;143954047.40;339354573.85;0.009100;2.117900;657669774.86;0.00;false
10;5;697962017.44;68423965.90;211738407.40;0.017400;2.759300;348755984.90;0.00;false
10;6;6702074056.60;642217227.78;1679473286.07;0.014600;2.334200;3207214254.62;0.00;false
