Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84612;5940;124;0;13057.15;10565.51;5258.48;10166.19;16464.33;-13177.57;42898.47;0.283300;0.001100;0.678400;0.032200;18;0;0.00;3775.86;10549.57;0.000000;0.00;0.137600;0.071800
2;82067;5515;157;0;13121.65;10566.47;5275.39;10160.91;16408.33;-17159.26;42476.07;0.280800;0.002500;0.678100;0.031800;7;0;0.00;3743.23;10503.68;0.000000;0.00;0.134600;0.069300
3;85584;5859;99;0;13050.08;10565.65;5214.11;10150.34;16589.00;-17698.15;41638.67;0.283200;0.002400;0.676500;0.033600;17;1;0.00;3664.28;10461.74;0.000000;0.00;0.136600;0.070900
4;89012;6076;167;0;12974.93;10565.23;5235.24;10135.55;16527.72;-8330.37;42888.69;0.283000;0.001900;0.674700;0.034700;12;2;0.00;3787.66;10556.33;0.000000;0.00;0.136200;0.070200
5;83229;5456;137;0;13097.60;10566.28;5242.63;10192.60;16518.21;-12769.35;43188.57;0.279700;0.002500;0.677200;0.032400;8;12;0.00;3855.62;10560.72;0.000000;0.00;0.136000;0.068500
6;86353;5763;49;0;13035.40;10566.55;5242.63;10176.76;16421.01;-15253.25;42946.47;0.280800;0.002900;0.677500;0.033600;6;1;0.00;3858.95;10581.31;0.000000;0.00;0.135600;0.068300
7;81284;5364;77;0;13151.23;10564.97;5288.06;10154.57;16519.27;-11395.68;43022.99;0.277900;0.002400;0.677400;0.031800;4;2;0.00;3886.36;10535.96;0.000000;0.00;0.132100;0.067100
8;80310;5885;154;0;13070.54;10565.01;5196.14;10120.76;16503.42;-18160.21;41727.91;0.287800;0.001600;0.677700;0.033300;15;0;0.00;3671.70;10514.22;0.000000;0.00;0.141500;0.074700
9;86442;5677;140;0;13028.77;10565.03;5255.31;10148.23;16557.31;-12507.61;42358.63;0.280000;0.002400;0.676700;0.032800;12;4;0.00;3774.63;10533.90;0.000000;0.00;0.134200;0.068200
10;85427;5755;54;0;13121.92;10566.36;5197.20;10113.36;16631.26;-15059.95;42149.54;0.283400;0.002600;0.675600;0.033100;12;0;0.00;3724.96;10541.80;0.000000;0.00;0.136500;0.069400
