Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85156;5563;5;0;11576.41;10565.03;5271.16;10153.51;16461.16;-30171.55;35454.87;0.279500;0.001200;0.679300;0.031100;0;0;0.00;3752.81;10516.04;0.000000;0.00;0.132600;0.065800
2;82217;5581;16;0;11608.42;10565.24;5241.58;10159.85;16411.50;-36439.46;34825.55;0.281600;0.002600;0.678000;0.032300;2;1;0.00;3686.28;10492.36;0.000000;0.00;0.135500;0.068600
3;85952;5632;30;0;11570.76;10565.30;5229.95;10135.55;16594.28;-33260.27;34441.72;0.280600;0.002800;0.677200;0.032400;2;3;0.00;3611.37;10431.19;0.000000;0.00;0.132900;0.066000
4;88970;6279;16;0;11464.72;10566.17;5306.03;10156.68;16475.95;-24356.82;35519.25;0.280300;0.002100;0.675700;0.033800;2;0;0.00;3726.22;10439.61;0.000000;0.00;0.133300;0.069900
5;81939;5618;1298;0;11443.77;10565.23;5210.94;10200.00;16522.44;-29270.03;34876.66;0.291300;0.002700;0.678000;0.031200;0;125;0.00;3686.67;10485.52;0.000000;0.00;0.148200;0.083000
6;85954;6125;93;0;11484.76;10565.23;5231.01;10187.32;16404.10;-28923.49;35534.91;0.283500;0.003200;0.677700;0.033400;25;0;0.00;3761.23;10486.92;0.000000;0.00;0.139800;0.072000
7;81569;5238;14;0;11661.39;10565.36;5298.63;10152.45;16511.87;-26782.76;36027.01;0.276600;0.002700;0.677800;0.031100;3;0;0.00;3848.21;10505.60;0.000000;0.00;0.129700;0.064500
8;80994;5357;20;0;11634.69;10564.55;5172.90;10113.36;16489.69;-31573.21;34827.40;0.283600;0.001800;0.678600;0.031800;0;0;0.00;3648.38;10510.91;0.000000;0.00;0.136400;0.067000
9;86133;6146;27;0;11506.43;10565.37;5281.73;10153.51;16513.99;-28162.78;35226.35;0.281000;0.002700;0.677100;0.032100;1;0;0.00;3694.62;10432.41;0.000000;0.00;0.135700;0.071200
10;81753;6852;2640;0;11238.05;10564.91;5197.20;10133.44;16525.61;-31032.29;33349.07;0.312000;0.003000;0.676600;0.031600;19;132;0.00;3373.14;10334.19;0.000000;0.00;0.167100;0.107600
