Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;3956388185.97;290980777.71;882835194.68;0.006600;2.741900;2073025138.38;0.00;false
1;1;1955651351.70;176692024.49;498388340.54;0.012200;2.633900;1082020632.35;0.00;false
1;2;1431683622.00;114836447.31;366775022.26;0.006400;2.937900;793672070.72;0.00;false
1;3;1434806767.38;122396488.48;336987110.76;0.002400;2.551400;784755759.53;0.00;false
1;4;1477911991.22;137201525.23;389537500.85;0.007400;2.662700;818398609.87;0.00;false
1;5;715349956.73;57540416.39;185158734.49;0.002900;2.917500;402330871.58;0.00;false
1;6;7940063098.21;644186922.98;1885979349.20;0.012000;2.733000;4293220578.87;0.00;false
2;0;3538727473.40;301103291.71;835867004.91;0.004500;2.538100;1855575901.65;0.00;false
2;1;2258581549.07;208119952.50;578223427.65;0.006400;2.590800;1243087950.73;0.00;false
2;2;1216143208.06;118023625.39;316765617.88;0.005700;2.506300;677450312.39;0.00;false
2;3;1738482327.57;159162993.55;420755571.28;0.005600;2.477800;952204027.69;0.00;false
2;4;1569600939.97;130372863.44;434382285.34;0.004000;3.083700;860224090.49;0.00;false
2;5;472462640.40;51221237.82;146184526.96;0.007600;2.655600;267404002.08;0.00;false
2;6;7967750552.94;669460050.31;1913449994.65;0.005300;2.668200;4292008113.26;0.00;false
3;0;4344745404.16;306920973.29;1107377491.60;0.033700;3.301500;2172260368.91;0.00;false
3;1;2824545162.81;200219844.98;811580674.34;0.070500;3.789900;1466096649.29;0.00;false
3;2;1653623308.88;128627487.16;508080202.17;0.084800;3.621400;868191088.18;0.00;false
3;3;1107898043.11;105608783.84;332412984.68;0.028900;2.971800;588815271.74;0.00;false
3;4;1564319854.81;131211374.29;468687340.01;0.063600;3.344000;822541521.26;0.00;false
3;5;471050298.11;40377706.26;161984058.84;0.085900;3.656400;255700529.76;0.00;false
3;6;7586735264.47;584967721.22;2058521253.23;0.065600;3.295800;3892381295.85;0.00;false
4;0;3797044177.14;289504657.59;843008115.90;0.029000;2.664400;1958479685.92;0.00;false
4;1;2169043638.03;223836928.45;552995163.38;0.001100;2.319100;1198846375.19;0.00;false
4;2;1554902392.84;136749946.97;376185433.32;0.026500;2.554900;847797411.10;0.00;false
4;3;1541528443.52;135476074.13;356256890.62;0.004400;2.466500;829831175.03;0.00;false
4;4;1377067782.10;111116213.68;360658185.19;0.053100;3.032100;744550701.90;0.00;false
4;5;456105116.22;46290514.14;133041109.24;0.000100;2.632800;260651033.61;0.00;false
4;6;8585747539.04;707831444.48;2000418849.55;0.019200;2.641100;4603131604.70;0.00;false
5;0;3298768437.38;267566604.14;785933476.65;0.007600;2.677200;1652733509.74;0.00;false
5;1;2394066735.16;201890185.40;673423230.81;0.005900;3.090600;1269580108.81;0.00;false
5;2;1747064656.32;143098853.02;468626644.07;0.007000;3.049000;927963783.68;0.00;false
5;3;1089095872.31;112746297.22;315830716.53;0.013100;2.650500;582267130.21;0.00;false
5;4;1773508967.64;133613647.49;463334369.21;0.006900;3.211200;929364827.88;0.00;false
5;5;669598223.27;63370500.67;216011152.22;0.003700;3.092400;371719432.56;0.00;false
