Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84817;5837;55;0;12603.39;10648.93;5312.71;10231.41;16569.61;-12732.52;40344.28;0.281500;0.001200;0.678600;0.032200;2;3;0.00;3829.98;10650.91;0.000000;0.00;0.135400;0.069100
2;82072;5691;48;0;12684.61;10657.73;5338.19;10257.55;16538.91;-12477.06;40367.07;0.280000;0.002500;0.678700;0.031400;12;0;0.00;3783.43;10611.87;0.000000;0.00;0.134400;0.069300
3;84923;6753;22;0;12712.93;10873.08;5387.54;10442.38;17004.20;-21043.11;39052.70;0.287300;0.002400;0.676500;0.033200;4;0;0.00;3821.76;10836.31;0.000000;0.00;0.141700;0.078900
4;87696;7266;294;0;12385.09;10651.30;5377.89;10215.76;16573.59;-7988.56;40217.10;0.288800;0.001900;0.675400;0.035000;37;4;0.00;3740.54;10530.84;0.000000;0.00;0.140800;0.082600
5;83355;5530;19;0;12809.27;10826.66;5367.90;10447.81;16928.70;-12036.83;40654.53;0.279000;0.002700;0.677700;0.031900;7;0;0.00;4024.88;10925.09;0.000000;0.00;0.135500;0.067500
6;86038;6132;39;0;12585.18;10673.73;5338.85;10288.12;16526.74;-12503.06;40926.21;0.280400;0.002900;0.678700;0.032200;6;0;0.00;3906.90;10642.29;0.000000;0.00;0.136000;0.070900
7;81160;5611;26;0;12778.67;10766.78;5393.11;10353.39;16829.64;-15255.49;40462.13;0.279400;0.002500;0.677200;0.032700;0;0;0.00;4009.45;10822.56;0.000000;0.00;0.132700;0.069100
8;80584;5809;37;0;12806.18;10844.80;5388.67;10378.27;16858.99;-12092.74;39833.32;0.284600;0.001600;0.678500;0.032400;2;2;0.00;3863.30;10890.18;0.000000;0.00;0.135500;0.071300
9;86113;6163;48;0;12553.84;10657.62;5306.80;10253.36;16686.75;-9928.36;40167.92;0.282000;0.002500;0.676300;0.033700;5;0;0.00;3796.61;10610.24;0.000000;0.00;0.137100;0.071500
10;85306;5932;36;0;12769.32;10782.19;5394.79;10323.75;16878.80;-12626.14;40500.05;0.281100;0.002800;0.677300;0.031000;5;0;0.00;3861.30;10746.54;0.000000;0.00;0.131800;0.068900
