Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85097;5623;4;0;11583.60;10565.47;5238.41;10167.25;16475.95;-32936.79;35344.14;0.280600;0.001200;0.679000;0.031500;1;0;0.00;3753.29;10532.97;0.000000;0.00;0.135000;0.067500
2;81863;5865;96;0;11566.93;10565.46;5288.06;10145.06;16422.07;-35144.90;34818.19;0.283200;0.002700;0.678400;0.031800;1;0;0.00;3648.69;10446.08;0.000000;0.00;0.135800;0.072600
3;85889;5692;43;0;11563.50;10565.33;5211.99;10138.72;16596.40;-39991.21;34137.03;0.281400;0.002600;0.677000;0.032600;4;0;0.00;3619.40;10429.10;0.000000;0.00;0.134800;0.067400
4;89225;6032;8;0;11493.33;10565.97;5246.86;10159.85;16510.82;-25047.64;35600.44;0.280700;0.002100;0.675800;0.033900;1;0;0.00;3746.09;10487.94;0.000000;0.00;0.134600;0.069000
5;79214;7040;2532;0;11163.82;10565.61;5173.96;10232.75;16394.60;-36193.04;32156.85;0.314400;0.002700;0.676400;0.034100;23;131;0.00;3378.60;10371.29;0.000000;0.00;0.173600;0.112900
6;86367;5785;30;0;11531.19;10565.36;5239.46;10182.04;16391.43;-30682.18;35758.07;0.280500;0.003200;0.678200;0.032400;2;2;0.00;3801.42;10511.40;0.000000;0.00;0.135900;0.068600
7;81265;5515;41;0;11628.18;10565.75;5292.29;10157.74;16512.93;-29881.27;35702.94;0.278800;0.002700;0.677700;0.031500;10;0;0.00;3819.37;10486.64;0.000000;0.00;0.132700;0.068800
8;80549;5708;114;0;11596.97;10565.63;5255.31;10167.25;16408.33;-38800.27;34467.83;0.282900;0.001800;0.677700;0.033000;6;5;0.00;3657.61;10409.55;0.000000;0.00;0.137400;0.072100
9;86311;5900;95;0;11511.79;10565.34;5252.14;10147.17;16546.74;-30259.51;35066.01;0.281400;0.002700;0.676700;0.033000;6;0;0.00;3696.66;10471.04;0.000000;0.00;0.135500;0.069400
10;85421;5846;18;0;11591.47;10565.29;5236.29;10114.42;16584.78;-34872.87;34724.94;0.281900;0.002900;0.676700;0.031500;1;0;0.00;3663.23;10455.81;0.000000;0.00;0.134200;0.068400
