Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84542;5843;217;0;13526.36;10565.47;5277.50;10177.81;16372.41;-7294.91;45322.68;0.282400;0.001100;0.678200;0.032000;48;2;0.00;3790.24;10523.19;0.000000;0.00;0.137100;0.071400
2;81903;5730;130;0;13612.22;10566.25;5236.29;10161.96;16457.99;-11432.09;44844.71;0.283400;0.002300;0.677300;0.032700;18;1;0.00;3730.42;10524.73;0.000000;0.00;0.138800;0.072000
3;85923;5536;102;0;13598.50;10566.34;5217.28;10136.61;16609.08;-13733.32;44246.89;0.281200;0.002300;0.676200;0.033900;9;4;0.00;3708.83;10502.69;0.000000;0.00;0.134300;0.067100
4;89147;5926;125;0;13498.01;10566.15;5228.90;10138.72;16542.51;-1137.20;45342.64;0.281400;0.001700;0.675100;0.034300;14;2;0.00;3800.25;10579.60;0.000000;0.00;0.134400;0.069400
5;83071;5447;242;0;13593.95;10565.61;5245.80;10195.77;16521.38;-6141.91;45624.82;0.280600;0.002400;0.677100;0.032700;18;3;0.00;3854.65;10574.49;0.000000;0.00;0.136100;0.069200
6;85831;6056;275;0;13481.72;10565.91;5218.33;10175.70;16412.56;-10157.45;45178.84;0.285400;0.002900;0.676200;0.035300;24;0;0.00;3842.93;10571.91;0.000000;0.00;0.140800;0.073700
7;79517;5294;1895;0;13494.45;10566.14;5272.22;10155.62;16503.42;-3352.08;45309.31;0.294100;0.002400;0.677000;0.032200;24;3;0.00;3760.17;10492.05;0.000000;0.00;0.147300;0.086700
8;80033;6104;145;0;13598.41;10566.09;5205.65;10126.04;16464.33;-8629.64;44664.65;0.288800;0.001500;0.677700;0.033000;16;1;0.00;3673.81;10512.84;0.000000;0.00;0.142500;0.077200
9;86495;5672;115;0;13528.07;10564.86;5224.67;10150.34;16586.89;-4333.66;44894.90;0.281100;0.002300;0.675500;0.034400;10;1;0.00;3786.98;10563.34;0.000000;0.00;0.135500;0.069400
10;85273;5702;173;0;13633.28;10565.01;5237.35;10118.64;16581.61;-7174.32;44921.71;0.282800;0.002400;0.676100;0.032300;26;0;0.00;3733.14;10498.65;0.000000;0.00;0.134500;0.069200
