Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84666;6422;92;0;14762.35;12264.98;6143.34;11847.62;19010.15;-2122.34;46288.21;0.283400;0.001000;0.677200;0.033300;16;0;0.00;5038.09;12854.35;0.000000;0.00;0.140000;0.075600
2;81211;6780;296;0;14551.03;12075.28;6082.64;11601.33;18699.56;-7805.58;46029.99;0.290400;0.002300;0.675700;0.035200;14;6;0.00;4751.40;12490.79;0.000000;0.00;0.142300;0.083300
3;84666;7330;157;0;14643.25;12208.42;6089.39;11707.55;19088.56;-7419.66;45587.72;0.293200;0.002300;0.672700;0.038500;13;3;0.00;4789.91;12669.98;0.000000;0.00;0.143900;0.084100
4;87428;8107;270;0;14353.66;12059.75;6076.97;11583.52;18754.33;-2532.19;46068.26;0.294800;0.001700;0.672600;0.038300;28;6;0.00;4774.39;12480.14;0.000000;0.00;0.146700;0.090100
5;83318;5967;108;0;14898.11;12407.84;6215.33;11971.55;19337.13;-3729.46;46714.35;0.281600;0.002500;0.676200;0.033000;13;2;0.00;5212.07;13076.51;0.000000;0.00;0.136300;0.071900
6;86461;6050;164;0;14804.95;12338.02;6149.16;11892.42;19175.43;-301.58;46966.68;0.281700;0.002700;0.677100;0.033100;14;2;0.00;5167.52;13004.72;0.000000;0.00;0.136800;0.070600
7;81515;5813;60;0;14972.83;12396.42;6189.61;11914.36;19405.62;-1727.76;46278.09;0.281600;0.002300;0.675200;0.033500;6;1;0.00;5229.62;13098.08;0.000000;0.00;0.135700;0.070900
8;79412;7283;188;0;14518.68;12131.17;6093.37;11712.42;18813.87;-5156.60;44934.10;0.292600;0.001400;0.674600;0.037700;22;1;0.00;4764.56;12477.11;0.000000;0.00;0.147800;0.089100
9;86049;6645;117;0;14529.29;12087.89;6031.52;11621.86;18912.88;2733.98;45967.61;0.286600;0.002300;0.673800;0.036800;40;3;0.00;4842.65;12606.21;0.000000;0.00;0.139700;0.077300
10;84683;6977;142;0;14911.09;12346.93;6128.16;11830.33;19359.97;-3665.08;46487.29;0.290300;0.002400;0.674800;0.033800;12;2;0.00;4973.88;12942.67;0.000000;0.00;0.143700;0.081000
