Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85194;5408;229;0;14650.87;11348.58;5632.62;10905.48;17732.05;2583.27;48263.02;0.281200;0.001000;0.677700;0.032400;34;3;0.00;4397.52;11694.00;0.000000;0.00;0.134200;0.067300
2;82219;5529;189;0;14690.23;11347.84;5651.04;10924.21;17652.14;-4005.07;47672.38;0.280600;0.002300;0.677500;0.032300;25;1;0.00;4330.50;11611.87;0.000000;0.00;0.135400;0.070100
3;84549;7001;263;0;14525.57;11365.10;5688.36;10886.88;17720.87;-5587.91;47196.69;0.291100;0.002300;0.674100;0.037700;20;1;0.00;4205.45;11492.72;0.000000;0.00;0.141000;0.081700
4;87035;7838;530;0;14142.76;11092.85;5604.53;10663.26;17216.32;6088.40;47561.52;0.295000;0.001700;0.672500;0.039800;60;6;0.00;4061.22;11141.75;0.000000;0.00;0.147200;0.090600
5;83349;5588;162;0;14717.18;11423.98;5619.92;11014.77;17915.43;2175.41;47832.75;0.282300;0.002400;0.675300;0.034900;40;2;0.00;4501.60;11822.14;0.000000;0.00;0.137900;0.071000
6;85481;6578;261;0;14383.97;11181.62;5585.11;10775.51;17337.88;654.21;48202.68;0.286300;0.002700;0.676600;0.035000;31;6;0.00;4274.05;11364.86;0.000000;0.00;0.141500;0.077600
7;81300;5454;201;0;14721.35;11376.20;5661.88;10942.66;17808.13;5745.44;47974.19;0.281200;0.002300;0.675600;0.033900;15;2;0.00;4486.66;11691.62;0.000000;0.00;0.135400;0.069600
8;80141;6182;250;0;14729.28;11505.27;5695.13;11014.05;17912.64;2707.93;47673.84;0.289800;0.001500;0.677100;0.033700;39;1;0.00;4336.87;11810.69;0.000000;0.00;0.141200;0.077900
9;86223;6008;218;0;14475.29;11215.98;5616.71;10774.72;17562.34;7007.34;47722.14;0.282000;0.002300;0.675400;0.034800;16;2;0.00;4256.33;11441.30;0.000000;0.00;0.134900;0.071300
10;85223;5896;290;0;14722.75;11412.74;5695.75;10925.89;17880.39;2106.33;48086.50;0.283700;0.002400;0.675200;0.033300;44;0;0.00;4337.66;11654.07;0.000000;0.00;0.133800;0.070900
