Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84799;7023;382;0;17206.56;15219.34;7604.41;14625.97;23665.44;5390.25;51184.20;0.292700;0.001000;0.674900;0.034600;59;2;0.00;7140.17;16942.23;0.000000;0.00;0.145200;0.083700
2;82085;7013;241;0;17394.40;15332.08;7606.91;14718.55;23918.60;2475.81;51084.75;0.294300;0.002100;0.675000;0.032900;63;0;0.00;7132.08;17106.63;0.000000;0.00;0.147400;0.084800
3;85227;7719;281;0;17669.96;15651.12;7751.71;15044.86;24541.61;-3279.51;50926.32;0.296500;0.002100;0.672900;0.034600;54;0;0.00;7281.77;17458.84;0.000000;0.00;0.151200;0.089600
4;87021;9323;426;0;16702.82;14935.48;7397.67;14377.14;23346.06;6609.84;50296.11;0.307000;0.001700;0.668800;0.041600;135;1;0.00;6755.16;16444.57;0.000000;0.00;0.162200;0.104100
5;84187;6183;113;0;17737.05;15644.43;7753.77;15049.13;24531.70;2716.65;51603.95;0.285400;0.002300;0.674000;0.033100;17;0;0.00;7612.20;17699.30;0.000000;0.00;0.139200;0.073500
6;85904;7617;217;0;17165.13;15222.85;7651.05;14653.61;23627.54;9262.57;51826.08;0.292500;0.002600;0.674000;0.036000;41;3;0.00;7181.05;16881.68;0.000000;0.00;0.145400;0.086400
7;82106;6197;105;0;17568.60;15405.13;7670.51;14777.17;24197.78;5308.02;51129.73;0.286500;0.002200;0.672800;0.035200;14;3;0.00;7451.35;17298.69;0.000000;0.00;0.138700;0.075700
8;80489;7333;205;0;17347.52;15409.71;7627.36;14772.43;23945.30;2948.16;49972.46;0.298100;0.001400;0.673300;0.035900;21;3;0.00;7136.07;17161.88;0.000000;0.00;0.150600;0.089300
9;86417;7303;169;0;17198.56;15215.77;7666.20;14598.95;23791.39;-2487.74;50429.74;0.289600;0.002100;0.672400;0.036100;20;4;0.00;7141.93;16904.10;0.000000;0.00;0.141200;0.082200
10;86001;6685;181;0;17612.44;15508.04;7701.55;14844.80;24387.23;3759.37;51408.41;0.289200;0.002300;0.672700;0.034200;22;2;0.00;7312.90;17388.68;0.000000;0.00;0.140900;0.077600
