Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84579;6339;23;0;12938.12;11172.67;5559.25;10771.06;17331.34;-9488.86;40617.09;0.284900;0.001200;0.676800;0.035000;4;1;0.00;4195.13;11340.23;0.000000;0.00;0.140400;0.075300
2;82258;5653;92;0;13104.45;11267.02;5608.86;10840.27;17519.53;-23052.08;40027.35;0.282300;0.002400;0.677800;0.033000;4;0;0.00;4219.20;11479.50;0.000000;0.00;0.135900;0.069800
3;85467;6395;75;0;13237.79;11544.86;5767.57;11073.37;18038.10;-18966.20;40156.67;0.284200;0.002400;0.676700;0.033500;17;0;0.00;4346.97;11769.73;0.000000;0.00;0.136500;0.073800
4;87645;7587;254;0;12765.20;11184.69;5662.65;10760.49;17346.97;-7200.14;40800.03;0.290000;0.001900;0.674400;0.036800;18;2;0.00;4137.28;11204.81;0.000000;0.00;0.142100;0.084900
5;83629;5511;9;0;13303.33;11491.89;5687.24;11094.08;17976.46;-10703.95;40910.33;0.279200;0.002600;0.676900;0.032800;0;0;0.00;4522.13;11867.00;0.000000;0.00;0.135700;0.067400
6;86513;5868;20;0;13058.85;11291.67;5577.04;10883.08;17578.01;-13399.94;40905.92;0.281800;0.003000;0.676900;0.034500;1;1;0.00;4368.00;11594.37;0.000000;0.00;0.137600;0.070700
7;81680;5418;9;0;13343.06;11492.17;5717.53;11043.16;18003.04;-8040.19;40798.29;0.279300;0.002500;0.676700;0.032800;2;0;0.00;4535.86;11848.85;0.000000;0.00;0.132900;0.067000
8;80635;5718;314;0;13236.38;11494.46;5651.08;11045.82;17852.18;-11187.29;40267.81;0.287400;0.001600;0.677300;0.033500;21;0;0.00;4332.26;11760.90;0.000000;0.00;0.140800;0.073500
9;86575;5964;16;0;13135.07;11383.81;5667.76;10923.45;17847.93;-7524.29;40332.65;0.280800;0.002500;0.676200;0.033200;1;0;0.00;4332.84;11668.89;0.000000;0.00;0.134300;0.068900
10;85169;6379;20;0;13286.88;11542.51;5741.48;11039.72;18127.12;-13037.46;40618.72;0.284500;0.002800;0.677000;0.030700;0;0;0.00;4369.56;11825.14;0.000000;0.00;0.137300;0.073400
