Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;2858070942.07;270867274.21;741608138.61;0.019200;2.288900;1313709836.73;0.00;false
1;1;1505449885.27;183032466.63;424223000.63;0.033600;2.096600;721592214.52;0.00;false
1;2;1069925022.26;105375907.72;323024572.78;0.026800;2.687000;517001030.22;0.00;false
1;3;1135505896.64;137506424.76;304565595.33;0.032900;2.033700;527015393.56;0.00;false
1;4;1069365107.65;123518125.63;314922018.70;0.016700;2.258400;521002248.68;0.00;false
1;5;526522348.91;54077079.94;169403785.44;0.030100;2.744000;261272833.31;0.00;false
1;6;6099518305.52;638076623.75;1584286442.41;0.023700;2.222300;2815488168.87;0.00;false
2;0;2581472818.03;277198301.52;697609999.26;0.020100;2.138200;1206802396.94;0.00;false
2;1;1701725551.15;211400502.58;474277543.29;0.019800;2.014900;825140524.15;0.00;false
2;2;885226949.73;105768429.85;262182367.95;0.041800;2.217200;446276145.16;0.00;false
2;3;1327835926.63;176933100.41;359246039.67;0.018000;1.864300;632869647.65;0.00;false
2;4;1146097421.69;116044358.95;360866011.95;0.020200;2.685900;554323488.64;0.00;false
2;5;331548475.00;44918437.23;127796435.68;0.037300;2.557100;179772919.89;0.00;false
2;6;6165577650.86;676976965.85;1595534760.98;0.022300;2.116000;2875894952.11;0.00;false
3;0;3128693191.27;287606107.05;805426250.07;0.023400;2.376100;1430894514.43;0.00;false
3;1;2070371859.32;214537463.83;612910975.51;0.032300;2.541300;976733614.24;0.00;false
3;2;1136531719.89;130627651.80;354196041.35;0.014500;2.309400;560824318.72;0.00;false
3;3;834602888.00;121769747.41;251752634.89;0.027100;1.902400;410979857.25;0.00;false
3;4;1134690517.87;122763646.88;350104752.56;0.020600;2.508200;541574389.92;0.00;false
3;5;328305676.20;40565869.80;123809860.12;0.039800;2.650100;175955102.62;0.00;false
3;6;5680362710.08;624759038.78;1505885719.02;0.021600;2.166100;2662776858.71;0.00;false
4;0;2646568164.89;282269156.53;671734850.83;0.019600;2.049300;1166839030.54;0.00;false
4;1;1642362598.17;206554820.57;456594263.78;0.015000;1.992200;749394394.33;0.00;false
4;2;1134825168.53;121957270.99;296058749.38;0.020500;2.098200;519910004.81;0.00;false
4;3;1204182925.84;135742170.36;292100183.13;0.016500;1.954200;529581915.05;0.00;false
4;4;1001069651.79;100869970.89;291762927.16;0.066200;2.569200;454933370.54;0.00;false
4;5;324383151.39;38026034.87;116305058.60;0.037200;2.648300;164552703.29;0.00;false
4;6;6684645656.84;699935424.87;1572957885.14;0.014400;1.996000;2911208934.73;0.00;false
5;0;2326940099.99;249910221.13;630132925.16;0.018900;2.148000;1119940237.16;0.00;false
5;1;1821426398.93;196392272.22;559770153.83;0.029800;2.532000;883323338.47;0.00;false
5;2;1335856133.41;133611971.10;376604914.91;0.018800;2.547800;655619417.56;0.00;false
5;3;808471321.63;108786037.72;257510938.84;0.031200;2.161600;408698305.02;0.00;false
5;4;1316960981.22;129833035.66;361001466.14;0.014800;2.466800;633917437.20;0.00;false
5;5;452101823.32;57236638.92;179364407.19;0.026400;2.636200;247365392.71;0.00;false
5;6;6130958244.13;625971968.30;1553930963.02;0.018300;2.226100;2918418286.12;0.00;false
6;0;2653302886.83;254293754.60;652659765.34;0.020200;2.150100;1201210270.52;0.00;false
6;1;1489799302.97;171457667.42;451354310.18;0.030700;2.368300;715707690.40;0.00;false
6;2;1091911844.47;114502262.99;312624728.92;0.024400;2.413000;519252234.61;0.00;false
6;3;1044454369.93;130331218.54;293529771.89;0.026600;2.042100;491818189.31;0.00;false
6;4;1061776045.34;110775517.97;309672725.84;0.025900;2.494400;493595845.08;0.00;false
6;5;418471761.45;52227598.95;149870990.70;0.038200;2.483300;216657350.54;0.00;false
6;6;6671381422.26;620280783.70;1710357877.64;0.029900;2.464400;2983213172.58;0.00;false
7;0;2268379141.30;241679234.98;606363539.19;0.017400;2.146600;1099843230.34;0.00;false
7;1;1588389403.61;178425311.43;457289710.89;0.024000;2.322000;790816727.05;0.00;false
7;2;1587699479.26;147125876.22;431544221.78;0.015800;2.580000;771997905.21;0.00;false
7;3;1009479943.10;133575626.82;292537934.75;0.018000;1.991800;500626699.76;0.00;false
7;4;1094431578.57;116486355.18;323994834.90;0.025000;2.507800;541618162.33;0.00;false
7;5;418675770.40;48869931.17;147981623.08;0.035900;2.692900;221997855.39;0.00;false
7;6;6165819806.16;610529871.16;1659766633.34;0.023400;2.449500;2943227899.12;0.00;false
8;0;2373553588.99;246792230.02;658618999.90;0.021400;2.258600;1199468617.06;0.00;false
8;1;1652993200.54;163439474.18;477756468.79;0.036200;2.624300;847738610.42;0.00;false
8;2;1232613735.98;120649425.60;360350991.24;0.021600;2.641300;635695501.02;0.00;false
8;3;1083797014.59;145004607.24;332668659.16;0.019600;2.011500;566068022.09;0.00;false
8;4;808502309.75;90054377.86;248701936.61;0.021900;2.442000;433392521.11;0.00;false
8;5;369603642.69;42007892.84;130006242.84;0.035100;2.701800;208628550.83;0.00;false
8;6;6372388431.18;609388894.57;1712575766.67;0.030600;2.516300;3168533269.57;0.00;false
9;0;3042326269.21;289230088.30;762767227.56;0.019500;2.222500;1368165275.42;0.00;false
9;1;1829066159.97;198930166.19;497772063.15;0.021400;2.217200;855238150.60;0.00;false
9;2;927587551.91;103823243.75;268134450.39;0.023100;2.267600;450234526.74;0.00;false
9;3;901161577.13;127914076.65;271665916.44;0.026000;1.946300;431203663.23;0.00;false
9;4;1169545574.00;114568140.74;327220170.28;0.017700;2.425800;550385860.13;0.00;false
9;5;384867347.96;40789568.11;134244798.93;0.039100;2.852300;195107088.16;0.00;false
9;6;5943157679.68;597177358.50;1513449475.35;0.020300;2.240200;2679968798.50;0.00;false
10;0;2135494861.55;234010308.81;631066215.97;0.021200;2.285300;965585399.29;0.00;false
10;1;1524085999.88;174768766.05;457637574.24;0.021500;2.306400;710005524.84;0.00;false
10;2;1185193304.38;112997172.55;332874127.60;0.018800;2.579800;545455973.57;0.00;false
10;3;1006520089.33;118739001.66;303466626.09;0.036600;2.305000;462824538.81;0.00;false
10;4;1277242098.23;120925279.87;339907769.37;0.014200;2.448600;581226059.84;0.00;false
10;5;670769661.38;72289209.07;208615658.32;0.017900;2.549500;310711325.23;0.00;false
10;6;6478322776.78;614878001.28;1776542964.13;0.028200;2.580400;2858847377.46;0.00;false
