Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;3040074432.03;243651070.18;754738375.62;0.011000;2.622400;1623173736.57;0.00;false
1;1;1594759257.85;163825744.92;425104195.99;0.010800;2.340300;883416550.23;0.00;false
1;2;1138219326.07;98034202.80;318569852.41;0.012000;2.861900;635566236.86;0.00;false
1;3;1179649058.47;113116310.87;303958664.55;0.016100;2.450900;638984577.21;0.00;false
1;4;1182350663.99;115377586.00;324102406.71;0.007400;2.508700;654244076.51;0.00;false
1;5;567405895.11;48879243.34;167387006.89;0.015100;3.017400;323352000.71;0.00;false
1;6;6520832726.44;591418237.73;1611191118.44;0.012200;2.460200;3479279019.96;0.00;false
2;0;2750207923.47;246204374.20;700462523.76;0.012600;2.426200;1454005928.20;0.00;false
2;1;1804246306.19;188053023.17;474580439.04;0.010600;2.261700;990558709.98;0.00;false
2;2;974377685.09;105025755.70;279237950.98;0.027800;2.422400;541721848.21;0.00;false
2;3;1392280929.45;147681170.02;353544427.60;0.014600;2.169000;755618230.48;0.00;false
2;4;1238516629.02;119740702.21;353856226.10;0.009300;2.606700;674934253.34;0.00;false
2;5;365232227.43;42358069.72;123925924.46;0.014100;2.603100;213357797.81;0.00;false
2;6;6476968851.23;596484304.17;1574821930.71;0.011000;2.371200;3445527020.05;0.00;false
3;0;3356619868.97;279823428.62;821105980.28;0.021800;2.552800;1764484314.52;0.00;false
3;1;2245372629.95;193267393.08;611685760.57;0.024800;2.835200;1209271710.56;0.00;false
3;2;1251945304.51;119363669.66;354087652.55;0.011100;2.516400;700833930.34;0.00;false
3;3;862287689.24;103298889.43;249575485.57;0.030800;2.215500;488256952.82;0.00;false
3;4;1186363341.38;115029850.80;343385335.93;0.019500;2.671800;660469478.72;0.00;false
3;5;357355488.27;38371743.56;119070607.93;0.010100;2.677500;212631245.84;0.00;false
3;6;6061126500.81;552887584.35;1524068349.43;0.031400;2.480900;3243043268.53;0.00;false
4;0;2998600966.96;280692640.52;696132830.86;0.010900;2.163200;1505319688.40;0.00;false
4;1;1717232718.28;205798836.08;461455539.66;0.007600;2.049600;920857089.74;0.00;false
4;2;1271215248.72;120611256.95;311958978.28;0.010500;2.271300;662830018.85;0.00;false
4;3;1295661732.85;160351000.96;300864818.85;0.008000;1.747400;665007853.46;0.00;false
4;4;1103896674.29;105417376.95;283675186.15;0.006300;2.401600;576948449.09;0.00;false
4;5;367513224.96;36375134.96;120902307.74;0.020400;2.906400;207214347.27;0.00;false
4;6;7227852921.76;675341787.43;1666527048.22;0.009800;2.227600;3669791843.78;0.00;false
5;0;2509569645.26;228592918.73;648907894.63;0.009600;2.440300;1345125679.83;0.00;false
5;1;1899205287.52;182963092.79;555595546.76;0.008700;2.719200;1051496402.49;0.00;false
5;2;1440341857.72;133150845.53;394166087.43;0.010900;2.708000;789925456.47;0.00;false
5;3;862611205.28;98933472.96;260530224.70;0.018100;2.418400;488008273.02;0.00;false
5;4;1417633283.65;117243813.58;376201544.01;0.006200;2.859500;771229101.30;0.00;false
5;5;514593720.63;56536804.25;175561737.13;0.009500;2.592200;306236826.94;0.00;false
5;6;6602634233.15;594413999.17;1692609742.10;0.018400;2.606700;3552313596.23;0.00;false
6;0;2889257384.49;239612204.01;685828207.07;0.012400;2.440300;1488631388.53;0.00;false
6;1;1574206682.33;171725767.10;447982550.68;0.011400;2.388000;876194431.91;0.00;false
6;2;1198442972.23;109757239.53;328627731.12;0.015700;2.686200;642330132.25;0.00;false
6;3;1135456689.80;119693295.06;304191690.79;0.014700;2.322100;606884681.14;0.00;false
6;4;1152849341.18;115041638.65;318200257.28;0.015300;2.509900;614141140.93;0.00;false
6;5;475580270.93;46016137.17;157504590.08;0.024500;2.914700;270226407.29;0.00;false
6;6;7143400817.11;601211669.64;1757432883.85;0.013100;2.645800;3695934175.08;0.00;false
7;0;2418656720.68;230896999.17;591119533.97;0.008500;2.221400;1306721619.51;0.00;false
7;1;1674561286.72;163643685.91;432675570.33;0.011900;2.369200;932933407.99;0.00;false
7;2;1689639302.49;147106448.25;419974198.43;0.006600;2.548300;926368032.83;0.00;false
7;3;1052480404.11;121909833.45;281535384.28;0.008000;2.099900;589838647.65;0.00;false
7;4;1160561706.14;114207360.15;299946786.46;0.004400;2.368200;648516229.99;0.00;false
7;5;447053600.12;49169810.21;138333479.23;0.012200;2.509900;259020461.44;0.00;false
7;6;6458181656.97;580336813.09;1586343724.38;0.009000;2.465000;3492330353.14;0.00;false
8;0;2549945740.69;227187314.38;646259400.37;0.012400;2.426700;1413784738.14;0.00;false
8;1;1751391665.04;156388985.57;457008202.77;0.012800;2.618700;994373601.93;0.00;false
8;2;1316085521.26;121019277.29;357096748.32;0.008500;2.648600;749000486.20;0.00;false
8;3;1136213818.31;127188343.60;320651025.42;0.009400;2.194900;664040108.94;0.00;false
8;4;874426583.46;89463215.41;245722016.07;0.012900;2.460000;514753892.64;0.00;false
8;5;394060698.70;36057443.31;121456288.17;0.008400;2.899500;240323347.39;0.00;false
8;6;6707746603.20;587931329.73;1650124404.64;0.011200;2.526700;3721390523.45;0.00;false
9;0;3216985602.51;292038810.43;739933147.02;0.010200;2.201700;1757383886.49;0.00;false
9;1;1917952322.47;199335248.63;486977328.02;0.014300;2.209600;1091796158.64;0.00;false
9;2;1029696963.70;107305107.05;267912882.30;0.014100;2.234100;583289132.36;0.00;false
9;3;961151337.16;114075441.33;269600927.65;0.018100;2.176600;544200613.60;0.00;false
9;4;1297229309.47;117134470.07;319168908.81;0.013900;2.362600;727733985.72;0.00;false
9;5;428418561.52;41566363.95;130087051.01;0.021700;2.730600;253172608.90;0.00;false
9;6;6363352889.25;585404855.53;1492167360.20;0.014100;2.285100;3460191058.45;0.00;false
10;0;2370623584.91;218493889.05;631654982.68;0.016900;2.476600;1244685901.58;0.00;false
10;1;1656333265.78;163152309.19;458660093.17;0.007100;2.475100;910067968.63;0.00;false
10;2;1267396903.14;112645289.62;330640745.44;0.018900;2.616400;689095170.93;0.00;false
10;3;1079812665.15;111908279.10;308718607.84;0.017400;2.530900;587551852.88;0.00;false
10;4;1367770126.07;131511465.10;334614699.80;0.006900;2.277900;742171931.76;0.00;false
10;5;713007351.60;67814863.39;202076021.61;0.006000;2.668400;393040290.77;0.00;false
10;6;6803834437.18;591882893.85;1659472903.57;0.013200;2.498500;3606161294.40;0.00;false
