Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85107;5521;96;0;11563.12;10565.42;5218.33;10165.13;16487.57;-33252.49;35158.67;0.281700;0.001200;0.678600;0.032300;0;0;0.00;3736.70;10540.54;0.000000;0.00;0.135200;0.066900
2;82309;5494;30;0;11620.29;10565.23;5254.25;10163.02;16426.29;-36618.98;34973.63;0.279800;0.002700;0.678600;0.031600;0;0;0.00;3691.63;10482.64;0.000000;0.00;0.134400;0.067700
3;85526;6070;18;0;11548.98;10565.90;5195.09;10129.21;16567.87;-38316.94;34224.11;0.284700;0.002800;0.676500;0.033500;7;0;0.00;3583.46;10430.01;0.000000;0.00;0.138200;0.071800
4;84998;7848;2360;0;11078.63;10565.97;5270.10;10153.51;16428.41;-29153.85;32807.13;0.311700;0.002100;0.675500;0.034400;46;115;0.00;3397.74;10315.37;0.000000;0.00;0.166100;0.110700
5;83349;5482;24;0;11607.65;10565.15;5237.35;10186.26;16529.83;-34543.46;35474.25;0.279300;0.002700;0.677500;0.031900;2;2;0.00;3793.22;10519.53;0.000000;0.00;0.135200;0.066900
6;86226;5946;10;0;11520.04;10564.99;5237.35;10189.43;16417.84;-31693.76;35692.91;0.281000;0.003300;0.677800;0.032900;1;0;0.00;3797.75;10501.58;0.000000;0.00;0.137600;0.069800
7;80994;5345;482;0;11597.18;10566.20;5304.97;10148.23;16507.65;-34037.01;35412.26;0.281400;0.002700;0.677800;0.031200;2;1;0.00;3805.04;10477.97;0.000000;0.00;0.134100;0.071100
8;80624;5705;52;0;11619.51;10566.26;5213.05;10147.17;16380.86;-38587.64;34489.84;0.284000;0.001700;0.678800;0.031600;5;0;0.00;3641.06;10464.90;0.000000;0.00;0.138200;0.071400
9;86538;5761;7;0;11534.77;10566.04;5245.80;10151.40;16560.47;-31248.59;35024.06;0.279600;0.002700;0.677000;0.032300;1;0;0.00;3724.88;10487.93;0.000000;0.00;0.134700;0.067800
10;85908;5375;2;0;11639.96;10565.40;5232.07;10101.74;16621.76;-37065.06;34653.51;0.279600;0.003100;0.677100;0.031500;0;0;0.00;3698.74;10510.96;0.000000;0.00;0.130900;0.063900
