Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85042;5603;79;0;12060.51;10565.22;5234.18;10175.70;16400.93;-27638.47;37763.31;0.280100;0.001200;0.678200;0.032000;3;1;0.00;3781.94;10509.39;0.000000;0.00;0.135900;0.067900
2;82189;5601;23;0;12114.39;10566.17;5275.39;10155.62;16424.18;-30291.62;37392.36;0.280300;0.002600;0.678700;0.031300;1;0;0.00;3707.78;10481.56;0.000000;0.00;0.134100;0.068800
3;85399;6190;25;0;12027.43;10565.41;5234.18;10140.83;16565.76;-29458.61;36828.53;0.283400;0.002600;0.677100;0.032000;3;0;0.00;3607.27;10404.74;0.000000;0.00;0.137700;0.072200
4;89248;5990;27;0;11997.52;10565.57;5283.84;10146.12;16494.97;-21593.77;37930.06;0.279000;0.001900;0.676400;0.032900;2;0;0.00;3767.36;10487.70;0.000000;0.00;0.132000;0.067300
5;83547;5302;6;0;12132.25;10566.54;5225.73;10197.89;16541.46;-26011.12;38104.95;0.277900;0.002700;0.677500;0.032000;0;0;0.00;3836.52;10560.18;0.000000;0.00;0.134600;0.065800
6;86195;5942;35;0;12017.59;10565.14;5179.24;10196.83;16425.24;-24795.84;38016.42;0.283200;0.003100;0.677200;0.034600;12;0;0.00;3820.81;10539.11;0.000000;0.00;0.141800;0.072500
7;81273;5480;64;0;12137.32;10566.34;5299.69;10167.25;16513.99;-23988.80;38283.84;0.278300;0.002600;0.677800;0.031200;0;0;0.00;3846.74;10504.16;0.000000;0.00;0.132400;0.068100
8;81068;5269;44;0;12144.37;10565.99;5176.07;10110.19;16519.27;-32554.33;37068.23;0.283700;0.001700;0.678300;0.031900;11;0;0.00;3675.66;10569.49;0.000000;0.00;0.135600;0.066900
9;86519;5779;8;0;12037.73;10565.79;5274.33;10148.23;16550.97;-23099.00;37498.42;0.279200;0.002600;0.677000;0.032300;0;0;0.00;3735.69;10487.97;0.000000;0.00;0.132800;0.067000
10;84929;6315;11;0;12056.23;10565.46;5206.71;10131.32;16606.96;-26617.08;37187.17;0.286000;0.002800;0.676200;0.032800;0;0;0.00;3661.81;10476.74;0.000000;0.00;0.140600;0.074900
