Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84959;5554;156;0;12557.25;10564.95;5256.37;10147.17;16485.46;-24330.34;40070.83;0.281400;0.001200;0.678800;0.031600;7;6;0.00;3779.97;10560.71;0.000000;0.00;0.134200;0.067300
2;81923;5656;123;0;12578.48;10565.99;5126.41;10197.89;16517.16;-33312.78;38332.45;0.288300;0.002500;0.674800;0.039300;3;2;0.00;3530.85;10583.14;0.000000;0.00;0.145700;0.081500
3;85898;5663;43;0;12584.23;10565.47;5246.86;10133.44;16583.72;-26323.46;39232.11;0.280200;0.002500;0.677500;0.031700;25;0;0.00;3656.89;10454.50;0.000000;0.00;0.132400;0.066700
4;89154;6054;56;0;12490.53;10565.69;5275.39;10146.12;16493.91;-16713.03;40193.33;0.280200;0.001900;0.676200;0.033000;0;0;0.00;3772.97;10513.25;0.000000;0.00;0.133500;0.069100
5;83190;5580;50;0;12595.65;10566.20;5226.78;10190.49;16522.44;-22874.40;40294.61;0.280000;0.002500;0.677600;0.031600;4;1;0.00;3828.74;10554.33;0.000000;0.00;0.136600;0.068500
6;86151;5959;72;0;12517.77;10566.14;5243.69;10175.70;16398.82;-21977.47;40453.35;0.281500;0.002900;0.678000;0.032900;20;0;0.00;3833.51;10539.60;0.000000;0.00;0.137500;0.070200
7;81265;5496;49;0;12636.83;10564.91;5298.63;10152.45;16520.33;-22435.33;40276.49;0.278900;0.002500;0.676900;0.032700;6;0;0.00;3868.71;10517.41;0.000000;0.00;0.132000;0.068400
8;79475;6576;236;0;12449.12;10566.48;5163.39;10155.62;16536.17;-31344.28;37170.44;0.296500;0.001600;0.675800;0.038000;8;8;0.00;3419.67;10472.26;0.000000;0.00;0.150800;0.085900
9;86601;5677;18;0;12539.08;10565.34;5209.88;10153.51;16596.40;-21987.83;39723.15;0.280700;0.002500;0.675900;0.033900;3;0;0.00;3763.30;10558.27;0.000000;0.00;0.136100;0.068100
10;85278;5921;66;0;12595.99;10565.06;5222.56;10118.64;16617.53;-25020.36;39523.74;0.284600;0.002700;0.675700;0.033600;50;1;0.00;3707.79;10498.66;0.000000;0.00;0.137200;0.071400
