Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84592;5608;398;0;14027.89;10565.14;5233.12;10155.62;16501.31;-13437.57;46968.06;0.284900;0.001000;0.677400;0.034200;22;3;0.00;3801.32;10596.24;0.000000;0.00;0.138200;0.071300
2;82058;5492;203;0;14118.22;10565.45;5206.71;10163.02;16480.18;-13312.23;46824.58;0.283700;0.002300;0.676600;0.034800;17;1;0.00;3759.77;10576.21;0.000000;0.00;0.138400;0.070900
3;85071;6102;355;0;14017.41;10565.74;5225.73;10140.83;16558.36;-13172.51;46323.00;0.286500;0.002200;0.675700;0.034100;53;6;0.00;3653.32;10459.26;0.000000;0.00;0.139800;0.075000
4;88420;6438;330;0;13923.72;10565.70;5260.59;10160.91;16484.40;-3177.57;47104.59;0.284300;0.001700;0.674900;0.035000;33;9;0.00;3785.39;10516.44;0.000000;0.00;0.139200;0.075600
5;82978;5496;248;0;14104.72;10565.98;5226.78;10202.11;16513.99;-9514.31;47865.42;0.280700;0.002400;0.677100;0.032000;38;1;0.00;3870.97;10577.12;0.000000;0.00;0.137900;0.069800
6;85791;5989;316;0;14013.76;10566.39;5252.14;10174.64;16393.54;-11015.09;47543.65;0.283800;0.002700;0.677000;0.034200;39;5;0.00;3865.01;10563.48;0.000000;0.00;0.139400;0.073400
7;80935;5368;391;0;14111.03;10565.51;5267.99;10160.91;16529.83;-7973.21;47233.59;0.282000;0.002300;0.675500;0.034600;24;14;0.00;3885.13;10554.41;0.000000;0.00;0.136700;0.071600
8;80420;5570;267;0;14103.01;10565.83;5145.43;10130.27;16528.78;-13368.98;46693.05;0.287800;0.001500;0.677500;0.033100;20;0;0.00;3704.08;10581.74;0.000000;0.00;0.142300;0.073300
9;86154;5852;249;0;13998.27;10564.74;5257.42;10148.23;16547.80;-7611.73;46900.94;0.282300;0.002200;0.675100;0.035000;31;2;0.00;3788.83;10532.06;0.000000;0.00;0.136500;0.071100
10;84906;5844;401;0;14092.82;10565.42;5254.25;10114.42;16572.10;-11517.20;46768.16;0.285200;0.002500;0.675300;0.033400;41;7;0.00;3728.32;10502.62;0.000000;0.00;0.136700;0.072700
