Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85214;5453;57;0;11578.19;10564.83;5255.31;10161.96;16460.10;-33657.26;35334.59;0.279400;0.001200;0.679100;0.030600;9;0;0.00;3764.82;10537.71;0.000000;0.00;0.133400;0.065600
2;81822;5939;63;0;11596.75;10565.40;5244.75;10157.74;16428.41;-34740.15;34902.27;0.284200;0.002600;0.678300;0.031900;18;1;0.00;3643.07;10466.56;0.000000;0.00;0.139200;0.073100
3;84529;7040;55;0;11437.84;10565.60;5221.50;10156.68;16498.14;-34626.87;34324.47;0.288600;0.002600;0.677400;0.031400;4;0;0.00;3546.63;10352.47;0.000000;0.00;0.145800;0.081500
4;89099;6121;45;0;11477.56;10566.40;5272.22;10152.45;16505.53;-25000.09;35621.24;0.281100;0.002100;0.675700;0.033600;4;0;0.00;3738.98;10469.37;0.000000;0.00;0.135000;0.070400
5;83517;5325;13;0;11619.51;10565.66;5240.52;10189.43;16534.06;-32016.70;35638.00;0.277800;0.002800;0.678000;0.031100;3;0;0.00;3809.92;10529.80;0.000000;0.00;0.133700;0.065300
6;86297;5811;74;0;11530.41;10565.31;5189.80;10189.43;16426.29;-31933.40;35722.62;0.282000;0.003400;0.677700;0.034000;14;0;0.00;3793.92;10533.68;0.000000;0.00;0.139400;0.069800
7;81204;5567;40;0;11641.43;10565.62;5282.78;10163.02;16515.04;-28614.20;35798.12;0.279400;0.002700;0.677300;0.032500;0;0;0.00;3824.75;10487.03;0.000000;0.00;0.133400;0.068800
8;81029;5321;31;0;11640.33;10565.20;5145.43;10107.02;16558.36;-34411.70;34758.76;0.284600;0.001800;0.678500;0.031100;2;0;0.00;3651.73;10548.60;0.000000;0.00;0.137500;0.067400
9;85901;6330;65;0;11462.96;10566.40;5298.63;10158.79;16504.48;-29799.77;34734.07;0.282800;0.002700;0.676900;0.032800;5;2;0.00;3668.54;10415.89;0.000000;0.00;0.136800;0.073500
10;85091;6094;100;0;11561.25;10565.77;5247.92;10126.04;16562.59;-36965.54;34660.38;0.283600;0.002900;0.677200;0.030700;10;0;0.00;3652.30;10425.71;0.000000;0.00;0.136900;0.072000
