Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85105;5547;72;0;11569.19;10565.90;5273.27;10156.68;16464.33;-30993.70;35473.74;0.279900;0.001200;0.679300;0.030700;2;0;0.00;3758.30;10518.07;0.000000;0.00;0.133100;0.066600
2;82458;5319;47;0;11636.55;10566.28;5221.50;10159.85;16484.40;-33168.25;35105.70;0.280600;0.002700;0.678000;0.032000;4;0;0.00;3687.23;10518.80;0.000000;0.00;0.134600;0.066800
3;85844;5751;19;0;11563.50;10565.75;5240.52;10144.00;16573.15;-35311.53;34540.73;0.280600;0.002800;0.677300;0.032300;3;0;0.00;3616.79;10406.48;0.000000;0.00;0.133000;0.067100
4;89308;5931;26;0;11504.69;10565.67;5237.35;10153.51;16513.99;-25638.31;35692.60;0.279900;0.002100;0.676400;0.033000;3;0;0.00;3764.91;10503.57;0.000000;0.00;0.134700;0.068100
5;83559;5271;25;0;11627.94;10565.62;5220.44;10192.60;16547.80;-29789.41;35723.67;0.278000;0.002800;0.677700;0.031400;1;0;0.00;3806.30;10541.68;0.000000;0.00;0.134400;0.065200
6;86134;5942;106;0;11508.98;10566.15;5235.24;10177.81;16415.73;-28500.85;35677.28;0.282200;0.003300;0.678000;0.032300;30;0;0.00;3782.21;10520.41;0.000000;0.00;0.138100;0.070700
7;81423;5340;58;0;11643.03;10565.33;5318.70;10149.28;16494.97;-28397.91;35843.99;0.277200;0.002700;0.678000;0.031200;3;0;0.00;3836.72;10490.69;0.000000;0.00;0.130100;0.066500
8;80606;5691;74;0;11598.62;10565.00;5208.82;10147.17;16380.86;-32612.74;34742.59;0.284700;0.001800;0.678200;0.032400;3;1;0.00;3642.13;10445.32;0.000000;0.00;0.138600;0.071800
9;86128;6085;83;0;11487.42;10565.65;5273.27;10147.17;16527.72;-31906.75;34908.55;0.282000;0.002700;0.676600;0.033200;14;0;0.00;3699.50;10440.06;0.000000;0.00;0.135700;0.071000
10;84528;5598;1138;0;11538.53;10566.13;5206.71;10113.36;16616.47;-32616.74;34737.86;0.291400;0.003000;0.676900;0.032100;0;0;0.00;3593.30;10466.33;0.000000;0.00;0.143700;0.078900
