Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85335;5504;63;0;13683.72;11394.32;5673.17;10952.10;17769.25;-5779.72;43449.12;0.279700;0.001100;0.678900;0.031200;8;1;0.00;4408.58;11713.66;0.000000;0.00;0.132500;0.065400
2;82075;5846;105;0;13563.35;11222.84;5598.93;10777.02;17411.80;-10137.38;42662.78;0.283300;0.002500;0.676900;0.033700;8;0;0.00;4191.48;11417.53;0.000000;0.00;0.135800;0.071200
3;84923;6932;65;0;13789.93;11557.64;5740.25;11089.89;18075.97;-14801.04;42564.54;0.288200;0.002400;0.676500;0.033500;5;1;0.00;4331.36;11796.52;0.000000;0.00;0.141600;0.078900
4;87721;7398;296;0;13297.59;11205.77;5665.48;10779.66;17409.94;-3066.47;43269.39;0.289200;0.001800;0.674400;0.036600;31;1;0.00;4173.49;11277.08;0.000000;0.00;0.141500;0.083600
5;83869;5229;27;0;13886.59;11585.24;5746.21;11162.24;18130.68;-5525.32;43661.02;0.276900;0.002500;0.677700;0.031300;9;0;0.00;4625.26;12012.89;0.000000;0.00;0.131700;0.063400
6;86513;5824;64;0;13579.34;11311.12;5622.60;10893.44;17595.10;-8892.03;43371.16;0.280600;0.002800;0.677300;0.034000;3;2;0.00;4407.93;11593.22;0.000000;0.00;0.134300;0.067800
7;81631;5367;82;0;13806.45;11459.40;5757.10;11016.88;17899.28;-3286.13;43439.96;0.277400;0.002400;0.677200;0.032100;3;3;0.00;4543.57;11764.38;0.000000;0.00;0.130500;0.065900
8;80354;6220;107;0;13767.64;11550.98;5724.61;11078.43;17940.80;-8726.87;42575.94;0.287200;0.001600;0.677800;0.032600;12;0;0.00;4376.10;11841.46;0.000000;0.00;0.141100;0.076900
9;85934;6303;282;0;13444.30;11251.31;5667.10;10814.40;17553.72;-3339.23;42907.82;0.283900;0.002400;0.675900;0.034300;19;3;0.00;4238.22;11399.95;0.000000;0.00;0.136200;0.074700
10;84403;6760;299;0;13507.75;11272.11;5622.39;10795.04;17630.28;-8066.55;42827.75;0.290900;0.002400;0.674700;0.035000;35;2;0.00;4154.12;11391.78;0.000000;0.00;0.141800;0.080300
