Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84786;5778;106;0;12553.00;10567.70;5232.39;10173.09;16488.74;-15634.81;40527.42;0.282300;0.001100;0.678900;0.031300;16;3;0.00;3778.56;10565.42;0.000000;0.00;0.137800;0.070000
2;82330;5351;109;0;12629.99;10566.91;5250.91;10154.17;16447.02;-17561.68;40171.67;0.280200;0.002500;0.678400;0.031500;7;3;0.00;3734.28;10521.88;0.000000;0.00;0.133700;0.066900
3;85822;5680;100;0;12570.63;10568.66;5190.11;10138.22;16613.44;-20348.83;39244.38;0.282900;0.002600;0.676200;0.034100;7;0;0.00;3646.79;10477.13;0.000000;0.00;0.137400;0.068900
4;89018;6213;34;0;12492.17;10569.09;5260.92;10142.44;16545.81;-11892.39;40521.40;0.282300;0.001900;0.675100;0.034600;3;0;0.00;3784.59;10550.23;0.000000;0.00;0.135900;0.071700
5;83355;5458;17;0;12616.80;10569.47;5205.97;10191.06;16550.03;-20546.86;40408.44;0.279700;0.002700;0.677200;0.032500;1;0;0.00;3854.79;10590.74;0.000000;0.00;0.136900;0.067800
6;86467;5655;50;0;12553.60;10568.69;5239.78;10179.43;16415.82;-15176.70;40863.04;0.279800;0.002900;0.678100;0.032700;2;1;0.00;3853.09;10559.05;0.000000;0.00;0.134900;0.066700
7;81169;5551;39;0;12646.42;10567.67;5319.05;10160.41;16496.14;-11238.63;40971.69;0.278000;0.002500;0.677800;0.031200;5;0;0.00;3862.13;10505.55;0.000000;0.00;0.132000;0.068400
8;80943;5333;63;0;12642.01;10568.84;5180.60;10113.91;16532.07;-16038.94;39978.46;0.284200;0.001600;0.678600;0.031300;11;0;0.00;3680.61;10569.91;0.000000;0.00;0.136300;0.067700
9;86154;6036;86;0;12508.26;10565.62;5195.47;10159.55;16602.91;-14756.72;39652.11;0.284500;0.002500;0.674800;0.036400;3;3;0.00;3705.92;10526.89;0.000000;0.00;0.140300;0.073800
10;85721;5493;18;0;12649.96;10567.68;5233.44;10108.62;16613.44;-15391.20;40185.29;0.280400;0.002800;0.676600;0.032200;1;0;0.00;3724.64;10522.12;0.000000;0.00;0.132000;0.065300
