Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
9;4;1319977151.46;116660603.05;323616746.73;0.009800;2.396300;709671966.29;0.00;false
9;5;436369672.23;46907835.96;120908238.46;0.000100;2.248200;245451390.93;0.00;false
9;6;6384752185.92;565743185.70;1447602436.42;0.011300;2.273600;3325842771.53;0.00;false
10;0;2408336748.14;227583303.59;650963425.54;0.012300;2.477400;1214907546.96;0.00;false
10;1;1701104190.37;166025903.16;460596080.11;0.004900;2.445200;894031284.07;0.00;false
10;2;1310490145.81;106870461.78;345749416.80;0.011100;2.906800;683836251.89;0.00;false
10;3;1082577843.85;106003378.17;290657892.80;0.002500;2.479800;570032175.54;0.00;false
10;4;1417738619.98;124846031.06;363602912.42;0.012900;2.630600;734975567.41;0.00;false
10;5;727490418.55;73534587.48;204579639.49;0.001500;2.518900;385296050.41;0.00;false
10;6;7042395471.47;579488171.06;1688974086.99;0.020000;2.591600;3543747045.17;0.00;false
