Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84793;5656;169;0;13550.79;10565.28;5250.03;10155.62;16482.29;-16340.64;44729.31;0.282700;0.001100;0.678100;0.032800;31;2;0.00;3795.41;10589.85;0.000000;0.00;0.135200;0.068500
2;82370;5294;120;0;13637.10;10565.64;5270.10;10154.57;16445.31;-19081.33;44548.35;0.279300;0.002400;0.677400;0.032700;17;0;0.00;3782.70;10541.10;0.000000;0.00;0.132200;0.066600
3;85509;5842;195;0;13559.36;10564.71;5253.20;10122.87;16545.68;-20658.56;43857.14;0.282800;0.002300;0.676200;0.033700;16;3;0.00;3675.89;10461.68;0.000000;0.00;0.134100;0.070300
4;89115;5930;160;0;13491.45;10566.33;5275.39;10149.28;16521.38;-6154.50;44949.34;0.280000;0.001700;0.675000;0.034300;14;0;0.00;3805.68;10541.09;0.000000;0.00;0.132900;0.069000
5;80614;5325;2900;0;13350.15;10565.65;5179.24;10196.83;16508.70;-14860.38;44180.07;0.304600;0.002400;0.676700;0.032900;16;18;0.00;3657.36;10518.03;0.000000;0.00;0.160400;0.097900
6;85999;5832;278;0;13507.66;10565.16;5248.97;10184.15;16421.01;-13871.99;45202.15;0.282700;0.002700;0.676900;0.034300;23;1;0.00;3859.06;10547.66;0.000000;0.00;0.138600;0.072200
7;81193;5419;131;0;13650.46;10566.03;5292.29;10152.45;16534.06;-11507.23;45307.01;0.279100;0.002300;0.676600;0.032600;12;2;0.00;3897.11;10555.42;0.000000;0.00;0.132900;0.068800
8;80632;5519;161;0;13609.26;10565.64;5168.67;10110.19;16535.12;-17235.40;44209.65;0.286900;0.001500;0.677500;0.033200;23;1;0.00;3701.47;10580.72;0.000000;0.00;0.139500;0.071000
9;86239;5850;159;0;13505.50;10565.51;5271.16;10150.34;16536.17;-12132.09;44566.06;0.280800;0.002300;0.676400;0.033000;13;2;0.00;3782.69;10517.64;0.000000;0.00;0.135000;0.069600
10;85304;5667;210;0;13622.92;10566.01;5237.35;10122.87;16581.61;-16519.42;44466.25;0.282800;0.002500;0.675800;0.032900;25;2;0.00;3748.42;10500.14;0.000000;0.00;0.135000;0.069000
