Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85152;6449;248;0;15896.08;13949.65;6910.34;13399.42;21746.51;-2132.91;47843.38;0.288800;0.001000;0.675800;0.033800;35;0;0.00;6230.26;15258.27;0.000000;0.00;0.142500;0.076900
2;83169;5673;61;0;16203.58;14127.95;6987.94;13577.45;21998.02;-2092.67;48127.25;0.282600;0.002200;0.676500;0.031400;3;2;0.00;6382.55;15509.60;0.000000;0.00;0.136000;0.068700
3;85612;7044;99;0;16082.64;14038.41;6860.93;13471.96;22113.05;-5303.67;47384.34;0.293900;0.002200;0.671900;0.038700;11;1;0.00;6178.60;15351.09;0.000000;0.00;0.148100;0.083800
4;87620;8330;440;0;15681.63;13942.15;6976.91;13393.32;21721.28;502.34;47884.14;0.297800;0.001700;0.673200;0.035500;114;2;0.00;6098.52;15070.68;0.000000;0.00;0.151600;0.093800
5;84177;5774;55;0;16245.37;14213.65;7025.25;13679.56;22282.40;-2442.48;47736.32;0.282000;0.002400;0.675200;0.033000;8;2;0.00;6581.28;15700.70;0.000000;0.00;0.136500;0.069300
6;85107;7996;180;0;15493.63;13639.30;6877.23;13147.48;21076.35;5262.08;48287.86;0.294100;0.002700;0.673700;0.038400;19;5;0.00;5992.56;14658.83;0.000000;0.00;0.147600;0.090500
7;81569;6146;173;0;16080.32;14047.40;7026.62;13480.10;21974.71;503.00;47794.26;0.285100;0.002300;0.674400;0.033900;21;1;0.00;6425.88;15348.29;0.000000;0.00;0.137100;0.075300
8;80437;6874;213;0;15967.01;14074.19;6989.48;13506.06;21829.83;-7847.95;46543.65;0.294000;0.001500;0.675000;0.034600;45;1;0.00;6192.57;15284.29;0.000000;0.00;0.146300;0.084500
9;85792;7509;107;0;15702.04;13845.03;6916.91;13299.41;21678.34;-4051.74;47137.33;0.291300;0.002300;0.673900;0.035400;11;4;0.00;6066.40;15018.78;0.000000;0.00;0.145600;0.084500
10;85693;6559;180;0;16021.44;13990.63;6926.24;13385.24;22019.62;-706.92;48173.59;0.289700;0.002500;0.672700;0.035800;22;4;0.00;6211.68;15295.37;0.000000;0.00;0.141000;0.077000
