Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84867;5652;112;0;13080.29;10587.43;5279.89;10189.22;16482.32;-3794.77;43426.86;0.280500;0.001100;0.679000;0.030800;10;3;0.00;3811.72;10568.75;0.000000;0.00;0.134800;0.068000
2;81924;5790;75;0;13102.26;10586.88;5283.06;10176.52;16447.38;-9015.76;42720.39;0.282300;0.002400;0.677800;0.032000;8;0;0.00;3726.85;10527.47;0.000000;0.00;0.136500;0.071600
3;85124;6393;103;0;13173.73;10740.86;5324.44;10313.75;16795.03;-10953.14;42174.58;0.285200;0.002400;0.676700;0.032700;25;0;0.00;3753.07;10664.57;0.000000;0.00;0.139300;0.075200
4;88487;6612;115;0;12953.28;10587.50;5312.71;10153.23;16511.96;-2308.51;43065.87;0.283700;0.001800;0.675800;0.033900;23;1;0.00;3765.78;10504.97;0.000000;0.00;0.135800;0.074400
5;83298;5334;164;0;13160.61;10640.22;5274.30;10261.31;16649.64;-6342.75;43420.95;0.279100;0.002500;0.677600;0.031800;13;6;0.00;3913.93;10666.29;0.000000;0.00;0.134700;0.066900
6;86326;5764;82;0;13058.32;10586.68;5214.25;10209.34;16486.55;-5591.28;43473.17;0.281500;0.002800;0.676700;0.034500;7;0;0.00;3873.54;10611.15;0.000000;0.00;0.138000;0.068700
7;80900;5673;201;0;13106.28;10586.66;5286.24;10178.63;16552.20;-6556.36;43285.00;0.282000;0.002500;0.676700;0.032700;27;1;0.00;3866.87;10557.88;0.000000;0.00;0.136400;0.072000
8;80339;5975;68;0;13163.18;10701.19;5257.64;10275.56;16653.65;-8421.99;42167.53;0.286800;0.001600;0.677700;0.033400;16;4;0.00;3769.03;10704.61;0.000000;0.00;0.141400;0.074900
9;86365;5883;48;0;13032.04;10587.89;5269.30;10166.99;16594.54;-5022.03;42664.25;0.280600;0.002400;0.675900;0.034100;7;2;0.00;3782.35;10544.51;0.000000;0.00;0.134700;0.069200
10;84965;6140;80;0;13143.00;10587.60;5247.07;10141.58;16609.37;-5050.70;42918.03;0.285000;0.002600;0.676200;0.032500;6;2;0.00;3707.70;10517.38;0.000000;0.00;0.138400;0.073200
