Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84129;5948;517;0;13984.60;10569.04;5257.75;10177.32;16472.89;-2706.13;47435.54;0.287000;0.001000;0.676800;0.034700;41;5;0.00;3776.52;10554.77;0.000000;0.00;0.141100;0.075800
2;81457;5774;455;0;14049.79;10567.59;5280.50;10162.62;16399.47;-3240.40;47248.80;0.285800;0.002300;0.677100;0.033200;88;1;0.00;3710.75;10503.56;0.000000;0.00;0.139200;0.075700
3;85267;5838;391;0;14045.03;10568.15;5224.99;10146.67;16564.83;-5298.30;46623.41;0.285100;0.002300;0.675300;0.034700;49;5;0.00;3671.96;10463.27;0.000000;0.00;0.138500;0.072500
4;88756;5955;440;0;13975.99;10567.75;5293.68;10155.12;16480.28;4855.91;47849.15;0.281600;0.001700;0.675300;0.033600;33;8;0.00;3792.05;10505.29;0.000000;0.00;0.134200;0.071600
5;83164;5329;247;0;14106.39;10568.66;5226.05;10196.34;16551.09;462.55;48242.60;0.280500;0.002300;0.676600;0.033200;28;3;0.00;3879.23;10607.53;0.000000;0.00;0.136300;0.068300
6;85882;5932;322;0;13993.79;10568.75;5215.48;10200.57;16425.33;-4088.96;47620.23;0.284400;0.002700;0.675800;0.036200;30;3;0.00;3866.14;10583.32;0.000000;0.00;0.140900;0.073300
7;80879;5481;336;0;14105.96;10568.94;5286.28;10165.69;16509.87;2109.96;48017.03;0.281600;0.002300;0.675800;0.034100;35;6;0.00;3886.46;10552.48;0.000000;0.00;0.135700;0.071800
8;80214;5823;208;0;14096.63;10567.86;5174.26;10157.24;16441.18;-2184.68;47210.57;0.287000;0.001500;0.677700;0.033000;19;1;0.00;3707.84;10540.08;0.000000;0.00;0.143100;0.075600
9;86138;5817;250;0;14009.38;10566.53;5253.59;10157.43;16551.14;-1258.94;47243.95;0.282000;0.002300;0.675800;0.033800;26;0;0.00;3785.49;10541.28;0.000000;0.00;0.136400;0.071500
10;84795;6098;273;0;14085.83;10568.64;5198.57;10121.31;16625.07;-118.24;46976.28;0.287200;0.002500;0.674800;0.034800;30;1;0.00;3717.31;10542.53;0.000000;0.00;0.141500;0.075500
