Seed;BankId;Deposits;Loans;Capital;NPL;CAR;GovBonds;InterbankNet;Failed
1;0;3703956269.84;264256511.72;850444449.74;0.010100;2.860100;2028964139.11;0.00;false
1;1;1833291777.81;167054131.79;479426295.37;0.010000;2.676100;1068382377.33;0.00;false
1;2;1337325238.96;111359199.54;346376251.75;0.003300;2.849600;776926474.39;0.00;false
1;3;1358239213.39;120428129.25;322530912.01;0.002600;2.472500;774624437.13;0.00;false
1;4;1430660511.24;117576123.93;382685516.12;0.034300;3.009100;815816075.33;0.00;false
1;5;666468319.66;55802852.32;177265123.62;0.003700;2.872500;395497564.65;0.00;false
1;6;7583956763.93;599615829.78;1843242069.11;0.012400;2.851600;4236427942.29;0.00;false
2;0;3287873857.73;267601193.73;801768254.47;0.005400;2.709300;1788510237.72;0.00;false
2;1;2141865728.25;204956329.99;549673870.54;0.008600;2.490100;1211982877.45;0.00;false
2;2;1152976075.12;105447990.40;304550846.21;0.006600;2.671500;663617446.24;0.00;false
2;3;1641703654.13;150371698.08;395722778.81;0.006300;2.449600;925555997.29;0.00;false
2;4;1487202279.70;138183051.70;427841062.47;0.008700;2.887700;840935826.51;0.00;false
2;5;446963312.98;44092987.67;133579282.81;0.000800;2.763800;262585670.33;0.00;false
2;6;7580681887.45;618283117.82;1835865415.39;0.008700;2.753000;4196341007.54;0.00;false
3;0;4043068753.10;292283201.11;990902290.23;0.006400;3.062600;2136732238.76;0.00;false
3;1;2639414699.12;193105118.66;712293773.49;0.012100;3.409700;1447910681.68;0.00;false
3;2;1527245228.85;119332613.64;479913780.05;0.037000;3.721800;851558815.81;0.00;false
3;3;1027442283.18;108637640.50;289038729.58;0.005000;2.498000;581586117.96;0.00;false
3;4;1475069646.46;114605003.26;424486247.22;0.006200;3.415600;811944458.33;0.00;false
3;5;441541868.95;40012824.44;142057801.28;0.000600;3.190400;253707636.35;0.00;false
3;6;7107505075.72;549827680.55;1808405296.39;0.005600;3.041400;3847108962.96;0.00;false
4;0;3569839617.44;263934880.46;826227548.59;0.011200;2.840500;1882466159.75;0.00;false
4;1;2058397178.67;209364859.42;544795488.73;0.005800;2.433800;1153967138.61;0.00;false
4;2;1491240257.45;124286694.04;368208483.91;0.007000;2.722200;825461469.96;0.00;false
4;3;1486443225.06;128011117.98;351566338.09;0.008000;2.568300;810527951.22;0.00;false
4;4;1324485479.99;105458252.12;357993636.65;0.012000;3.165000;726322625.92;0.00;false
4;5;442145013.61;38160987.84;128754871.43;0.004100;3.020400;255091285.04;0.00;false
4;6;8369594820.20;658891066.36;1971551887.34;0.007700;2.777300;4528218337.11;0.00;false
5;0;3044859556.68;244151339.88;738575592.08;0.012600;2.735700;1593849368.22;0.00;false
5;1;2278905629.46;189176268.56;654097233.20;0.014700;3.192600;1238232533.58;0.00;false
5;2;1685200788.40;128203399.64;432067742.96;0.006700;3.089100;916633463.51;0.00;false
5;3;1019264643.79;104790456.90;289247773.54;0.017000;2.590800;564965893.17;0.00;false
5;4;1680449147.50;130784634.54;433471016.61;0.008200;3.071600;907640943.35;0.00;false
5;5;643525873.10;55392692.81;200497773.61;0.003600;3.187100;367974307.91;0.00;false
5;6;7658148159.83;622687018.71;1870656749.20;0.011100;2.802800;4101090455.07;0.00;false
6;0;3430951112.97;264932252.95;740272307.33;0.010200;2.510400;1871396016.66;0.00;false
6;1;1915669065.56;168384501.09;482919696.12;0.005700;2.640400;1093280426.32;0.00;false
6;2;1411127334.12;119520116.25;349452773.67;0.014000;2.708100;802677495.34;0.00;false
6;3;1309972303.46;127114874.67;319512841.15;0.009500;2.350000;748231925.15;0.00;false
6;4;1334082312.18;120291195.53;337980318.23;0.005400;2.604100;760490314.69;0.00;false
6;5;573258072.31;50295819.56;158100805.46;0.009900;2.777100;338932769.05;0.00;false
6;6;8164755212.72;599398067.51;1904229106.71;0.011400;2.931800;4530417107.28;0.00;false
