Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84289;6289;130;0;12996.71;10565.25;5234.18;10175.70;16496.02;-21414.30;42223.44;0.286000;0.001100;0.678300;0.032300;4;1;0.00;3762.25;10558.15;0.000000;0.00;0.142200;0.076200
2;82159;5359;240;0;13120.02;10565.77;5247.92;10157.74;16424.18;-24397.67;41964.33;0.281700;0.002300;0.677800;0.032100;12;0;0.00;3729.09;10531.13;0.000000;0.00;0.135800;0.069400
3;85346;6182;38;0;13038.80;10565.53;5213.05;10131.32;16598.51;-21763.22;41658.58;0.283900;0.002400;0.677300;0.032200;6;0;0.00;3645.47;10463.74;0.000000;0.00;0.138400;0.072500
4;88853;6308;88;0;12963.97;10565.64;5303.91;10150.34;16480.18;-11868.68;42570.55;0.281300;0.001800;0.675400;0.033900;12;0;0.00;3790.70;10479.35;0.000000;0.00;0.134400;0.071900
5;79452;6441;2831;0;12730.45;10565.52;5188.75;10217.96;16425.24;-19671.46;40812.54;0.311300;0.002400;0.677600;0.031800;46;163;0.00;3540.91;10438.90;0.000000;0.00;0.169800;0.109100
6;86474;5603;95;0;13050.04;10565.66;5224.67;10182.04;16443.20;-17065.04;42957.61;0.280300;0.002900;0.677300;0.033700;4;2;0.00;3877.27;10574.97;0.000000;0.00;0.135700;0.067600
7;81190;5375;202;0;13128.94;10566.51;5322.93;10146.12;16499.19;-15408.34;42796.07;0.278400;0.002400;0.677200;0.031900;10;7;0.00;3882.62;10522.91;0.000000;0.00;0.131500;0.068300
8;80425;5789;102;0;13085.96;10564.99;5203.54;10145.06;16419.95;-21721.60;41778.15;0.285400;0.001600;0.678600;0.031500;10;1;0.00;3682.62;10508.25;0.000000;0.00;0.140000;0.073300
9;85823;6063;390;0;12966.26;10566.14;5287.01;10164.08;16509.76;-16818.79;41987.41;0.283400;0.002300;0.676600;0.032600;10;10;0.00;3749.41;10468.86;0.000000;0.00;0.138300;0.074400
10;85295;5763;119;0;13119.59;10565.67;5238.41;10120.76;16587.95;-19621.31;41910.96;0.283000;0.002500;0.676500;0.032500;30;0;0.00;3731.40;10507.98;0.000000;0.00;0.134700;0.069300
