Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84783;5817;105;0;12044.61;10567.97;5204.91;10186.83;16514.10;-20558.35;37702.08;0.284400;0.001200;0.677700;0.033900;9;2;0.00;3743.92;10555.72;0.000000;0.00;0.140500;0.072100
2;81399;6324;94;0;12045.48;10566.60;5263.59;10173.19;16405.81;-24172.42;37627.13;0.285300;0.002600;0.678800;0.031100;6;0;0.00;3645.20;10448.69;0.000000;0.00;0.141700;0.077800
3;85766;5793;55;0;12062.25;10568.97;5200.68;10154.07;16610.27;-27953.36;36886.87;0.282300;0.002700;0.676700;0.033300;0;2;0.00;3647.36;10449.84;0.000000;0.00;0.137100;0.069600
4;88991;6224;50;0;11973.65;10568.88;5266.20;10146.67;16513.05;-14107.43;38198.82;0.281000;0.002000;0.675900;0.032800;2;0;0.00;3739.75;10482.40;0.000000;0.00;0.135000;0.070200
5;82808;5819;218;0;12049.95;10568.40;5250.35;10215.36;16481.34;-20097.29;37759.24;0.282600;0.002700;0.677700;0.032500;9;3;0.00;3769.82;10489.99;0.000000;0.00;0.139600;0.073100
6;86293;5780;99;0;12028.68;10568.09;5220.76;10180.49;16433.78;-20801.55;38301.11;0.282000;0.003100;0.677800;0.033400;6;0;0.00;3821.75;10562.23;0.000000;0.00;0.137400;0.069700
7;81545;5261;5;0;12156.61;10569.00;5294.74;10159.35;16557.43;-17724.50;38597.97;0.277700;0.002600;0.676900;0.032200;0;1;0.00;3861.73;10552.53;0.000000;0.00;0.130600;0.066400
8;80712;5657;2;0;12111.58;10569.28;5213.36;10164.64;16388.34;-21646.85;37230.18;0.282800;0.001700;0.678400;0.032200;0;1;0.00;3677.04;10458.53;0.000000;0.00;0.138500;0.071700
9;86447;5844;15;0;12042.21;10567.17;5263.10;10154.26;16541.63;-18712.82;37902.06;0.279500;0.002600;0.677500;0.031600;2;0;0.00;3732.98;10482.49;0.000000;0.00;0.133800;0.067700
10;85665;5565;24;0;12125.36;10568.81;5227.10;10106.51;16625.07;-19847.35;37627.41;0.281700;0.002900;0.676400;0.032500;1;0;0.00;3696.92;10514.30;0.000000;0.00;0.133000;0.066300
