Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84270;7060;176;0;15948.34;13226.62;6561.63;12727.80;20630.59;2162.47;49752.64;0.291700;0.001000;0.676000;0.034300;24;2;0.00;5665.55;14233.00;0.000000;0.00;0.146800;0.082600
2;82355;6176;104;0;16042.35;13293.13;6576.71;12790.48;20680.67;-1306.48;49352.93;0.286000;0.002200;0.676000;0.033600;7;4;0.00;5739.67;14322.29;0.000000;0.00;0.141200;0.075700
3;86056;6219;173;0;16170.02;13390.05;6535.96;12860.36;21091.59;-1393.41;49315.58;0.288400;0.001900;0.672900;0.037000;20;3;0.00;5763.67;14435.36;0.000000;0.00;0.142400;0.076200
4;86849;8811;420;0;15465.62;13055.22;6573.06;12561.27;20290.98;3227.63;49203.68;0.299900;0.001700;0.671900;0.038500;57;10;0.00;5461.44;13793.93;0.000000;0.00;0.154700;0.098500
5;83027;6351;318;0;16069.55;13413.35;6725.58;12936.08;20906.45;-453.23;49851.68;0.286200;0.002200;0.675400;0.033100;27;3;0.00;5927.84;14445.83;0.000000;0.00;0.140800;0.078300
6;84774;7844;367;0;15617.46;13027.32;6508.50;12549.33;20184.71;5871.58;49760.11;0.296600;0.002700;0.674300;0.037300;48;4;0.00;5527.18;13865.48;0.000000;0.00;0.150700;0.091700
7;81959;5547;137;0;16255.26;13479.61;6730.50;12955.51;21110.83;3353.11;49877.41;0.280300;0.002200;0.675500;0.032500;14;0;0.00;6073.59;14637.00;0.000000;0.00;0.133400;0.068600
8;79139;7463;585;0;15700.56;13163.91;6596.09;12682.76;20335.86;-2370.27;48358.97;0.299100;0.001400;0.674000;0.037400;75;5;0.00;5486.47;13865.87;0.000000;0.00;0.153300;0.095700
9;86270;6634;254;0;15764.85;13127.34;6527.94;12600.40;20589.36;4213.68;48823.94;0.288000;0.002100;0.673100;0.037200;22;3;0.00;5617.59;14074.12;0.000000;0.00;0.141200;0.077600
10;86382;5675;140;0;16325.71;13518.16;6692.41;12922.54;21278.93;3314.80;49990.38;0.282900;0.002300;0.674100;0.033800;17;3;0.00;5938.76;14694.76;0.000000;0.00;0.133700;0.067100
