Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85106;5441;137;0;12575.55;10564.96;5246.86;10149.28;16492.86;-19401.13;40391.93;0.281000;0.001100;0.678800;0.031500;14;0;0.00;3785.65;10578.38;0.000000;0.00;0.133900;0.066600
2;82006;5574;199;0;12597.07;10566.15;5278.56;10151.40;16418.90;-24913.88;39720.40;0.282300;0.002500;0.678400;0.031700;22;1;0.00;3701.70;10486.47;0.000000;0.00;0.135100;0.070400
3;86040;5532;42;0;12597.77;10565.16;5244.75;10129.21;16591.11;-22976.15;39442.79;0.279600;0.002600;0.677200;0.032100;2;1;0.00;3662.94;10457.27;0.000000;0.00;0.131400;0.065700
4;88800;6428;37;0;12494.98;10565.94;5272.22;10146.12;16500.25;-14295.85;40544.16;0.282500;0.001900;0.675700;0.033300;4;1;0.00;3766.89;10508.05;0.000000;0.00;0.136200;0.072200
5;83113;5621;107;0;12581.70;10565.14;5247.92;10183.09;16524.55;-19358.71;40261.43;0.281100;0.002600;0.677000;0.033000;20;5;0.00;3820.35;10555.91;0.000000;0.00;0.135700;0.069200
6;86108;5905;159;0;12512.43;10564.93;5220.44;10178.87;16406.22;-17929.42;40662.55;0.282800;0.003000;0.677200;0.033900;8;3;0.00;3834.51;10539.16;0.000000;0.00;0.138600;0.070600
7;81002;5643;149;0;12632.44;10565.41;5307.08;10154.57;16493.91;-16690.87;40621.86;0.280300;0.002500;0.677400;0.032100;7;3;0.00;3848.65;10503.35;0.000000;0.00;0.134300;0.070800
8;80865;5355;113;0;12637.29;10566.29;5172.90;10118.64;16535.12;-21385.31;39752.70;0.284500;0.001600;0.679100;0.030800;5;1;0.00;3684.47;10555.07;0.000000;0.00;0.137700;0.068300
9;84066;5561;2669;0;12323.20;10564.92;5186.64;10144.00;16592.17;-21266.28;38994.92;0.302400;0.002500;0.676300;0.033100;4;4;0.00;3576.50;10491.92;0.000000;0.00;0.157000;0.094000
10;85570;5566;129;0;12622.77;10565.17;5190.86;10107.02;16623.87;-22232.50;39541.38;0.282800;0.002700;0.675900;0.033200;18;0;0.00;3705.20;10523.93;0.000000;0.00;0.135900;0.067500
