Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;82773;7391;551;0;11814.22;10565.18;5237.35;10203.17;16447.42;-24427.29;37032.99;0.296800;0.001200;0.678700;0.031700;24;131;0.00;3608.80;10431.76;0.000000;0.00;0.154400;0.092200
2;82064;5615;115;0;12084.38;10565.77;5195.09;10168.30;16441.08;-27434.69;36827.26;0.284600;0.002600;0.676600;0.034900;0;3;0.00;3619.37;10520.59;0.000000;0.00;0.140000;0.072300
3;85685;5843;76;0;12046.81;10565.94;5203.54;10139.78;16589.00;-28873.19;36698.25;0.283200;0.002600;0.676300;0.034000;2;3;0.00;3619.14;10437.06;0.000000;0.00;0.136700;0.069100
4;89173;5971;121;0;11992.62;10565.97;5277.50;10140.83;16502.36;-16578.19;38153.73;0.280100;0.002000;0.676300;0.032800;4;1;0.00;3758.21;10472.82;0.000000;0.00;0.133000;0.068200
5;83300;5466;89;0;12102.07;10565.57;5217.28;10183.09;16547.80;-23111.58;38054.56;0.280400;0.002700;0.677000;0.033000;1;3;0.00;3812.63;10556.55;0.000000;0.00;0.136200;0.068200
6;86307;5769;96;0;12039.28;10564.97;5239.46;10183.09;16415.73;-22565.41;38276.28;0.280400;0.003100;0.678100;0.032400;4;2;0.00;3827.93;10512.75;0.000000;0.00;0.136700;0.068800
7;81365;5392;54;0;12140.10;10565.41;5292.29;10151.40;16519.27;-20740.53;38325.59;0.278200;0.002600;0.677500;0.032000;1;1;0.00;3860.51;10523.19;0.000000;0.00;0.131800;0.067400
8;80350;5845;172;0;12069.91;10565.24;5226.78;10196.83;16376.63;-27147.63;37088.27;0.283500;0.001700;0.678700;0.031700;11;7;0.00;3666.84;10395.68;0.000000;0.00;0.141100;0.074600
9;86015;6229;62;0;12018.07;10565.04;5269.05;10149.28;16527.72;-21386.60;37657.22;0.282400;0.002600;0.677400;0.032000;10;0;0.00;3706.94;10464.42;0.000000;0.00;0.137400;0.072400
10;85418;5762;31;0;12115.03;10566.37;5256.37;10111.25;16577.38;-21865.59;37660.17;0.281400;0.002800;0.677000;0.031800;1;4;0.00;3692.21;10464.25;0.000000;0.00;0.132900;0.067600
