Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanMonthlyIncome;MeanEmployedWage;WageP10;WageP50;WageP90;MeanSavings;MedianSavings;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;85363;5340;20;0;12099.63;10565.95;5267.99;10156.68;16471.72;-30100.66;37746.15;0.278300;0.001200;0.679500;0.030500;1;0;0.00;3795.63;10560.42;0.000000;0.00;0.131000;0.063500
2;82203;5539;71;0;12135.29;10564.74;5271.16;10151.40;16441.08;-31755.78;37422.10;0.280700;0.002500;0.679000;0.030800;3;1;0.00;3700.29;10493.43;0.000000;0.00;0.133200;0.068600
3;85583;6003;28;0;12062.53;10565.41;5254.25;10149.28;16535.12;-33192.17;36809.95;0.281500;0.002700;0.677400;0.032000;1;1;0.00;3628.43;10400.51;0.000000;0.00;0.135300;0.070200
4;88856;6394;15;0;11955.97;10566.07;5227.84;10150.34;16525.61;-21123.49;38043.03;0.283400;0.002000;0.675500;0.034100;1;0;0.00;3747.60;10507.75;0.000000;0.00;0.138000;0.072700
5;83421;5364;80;0;12121.58;10566.31;5233.12;10188.38;16534.06;-28543.30;37903.38;0.278600;0.002600;0.678000;0.031000;4;0;0.00;3823.97;10556.86;0.000000;0.00;0.135200;0.067200
6;86243;5928;11;0;12033.50;10565.33;5233.12;10175.70;16404.10;-27746.49;38037.19;0.280900;0.003100;0.678500;0.032200;1;0;0.00;3807.76;10526.57;0.000000;0.00;0.136800;0.069700
7;81145;5639;36;0;12118.68;10565.75;5311.31;10154.57;16492.86;-24290.86;38170.19;0.279000;0.002600;0.677800;0.031300;8;0;0.00;3843.50;10504.42;0.000000;0.00;0.133000;0.069400
8;81000;5312;59;0;12138.56;10565.50;5153.88;10110.19;16549.91;-35005.33;36675.76;0.285200;0.001700;0.677700;0.033100;0;2;0.00;3634.23;10590.81;0.000000;0.00;0.137400;0.068300
9;86588;5657;61;0;12039.12;10565.16;5256.37;10151.40;16553.08;-27716.73;37422.39;0.278900;0.002600;0.677300;0.031900;0;0;0.00;3746.28;10488.71;0.000000;0.00;0.133200;0.066800
10;85517;5663;55;0;12118.66;10565.48;5258.48;10114.42;16576.32;-27339.32;37380.32;0.280700;0.002800;0.677500;0.031000;7;1;0.00;3695.37;10472.91;0.000000;0.00;0.131600;0.067000
